,0,1
Miltiadous-47,6.3498683,8.991362
Miltiadous-48,4.181294,8.471172
Miltiadous-49,21.126707,6.0780897
Miltiadous-50,-6.9541135,0.4999022
Miltiadous-51,-7.4019613,0.69688845
Miltiadous-52,9.124502,4.3951917
Miltiadous-53,15.991892,2.9860063
Miltiadous-54,19.943527,7.4163866
Miltiadous-55,1.1493717,3.586687
Miltiadous-56,18.828049,3.865243
Miltiadous-57,11.970226,4.9634895
Miltiadous-58,15.205482,4.809417
Miltiadous-59,-15.304102,3.7044377
Miltiadous-60,-13.305312,-6.1773534
Miltiadous-61,-9.222486,2.5950842
Miltiadous-62,1.0679922,9.509743
Miltiadous-63,-0.24350567,6.6455235
Miltiadous-64,20.64352,6.574244
Miltiadous-65,-6.1320415,0.83273077
Istambul-falames1,9.759453,-1.6718858
Istambul-falcehl1,5.239526,-5.641604
Istambul-falecir1,12.941364,1.246894
Istambul-faledev1,-4.249768,4.5532017
Istambul-falekab1,-6.602679,-1.268977
Istambul-falfsev1,-18.361786,1.8291229
Istambul-falgdon1,-2.775471,-9.295853
Istambul-falherb1,-3.1735833,-8.02976
Istambul-falmasi1,3.3365982,2.3196874
Istambul-falmcek1,-10.160984,-12.021652
Istambul-falmdem1,-2.1969013,-11.2380905
Istambul-falmedi1,6.462095,9.038039
Istambul-falmgun1,-5.6033363,0.72824425
Istambul-falmozb1,18.968037,-1.1819332
Istambul-falmyil1,15.130913,0.14962648
Istambul-falnpos1,-3.2850952,-10.5598
Istambul-falnsez1,-10.225398,-5.716576
Istambul-falrakk1,0.25043592,-11.385346
Istambul-falscan1,11.391197,-5.814461
Istambul-falserg1,4.756034,-6.866868
Istambul-falsgul1,-10.194101,5.6060266
Istambul-falskar1,15.996405,1.0826163
Istambul-falssah1,5.849692,5.195341
Istambul-faltkar1,-9.327774,-9.073056
Istambul-falyedi1,-13.337109,-1.2533557
Istambul-falymem1,-0.45485637,7.1384525
Istambul-falzbil1,10.158424,-2.6597145
Istambul-falzsah1,17.74618,2.7557657
Istambul-febuyig1,21.263962,3.3237677
Istambul-fesbek1,-0.05651892,0.6252099
Istambul-feykar1,2.2750525,7.786095
Istambul-fhtun1,-14.060962,-4.59895
Istambul-fmcimtas1,0.72973096,-3.445613
Istambul-fpdemryal1,-7.5875053,-6.7826743
Istambul-frekakt1,15.181525,5.5464745
Istambul-paarı1,-2.7183862,2.3878245
Istambul-pacik1,15.753023,3.8042903
Istambul-pcaka,0.08984432,-2.0126836
Istambul-pccak1,-2.331634,8.847902
Istambul-pcgul1,10.364181,-5.9466925
Istambul-peakk1,4.54846,4.977646
Istambul-pegun1,16.23109,6.8751917
Istambul-pfdum1,18.969433,8.204288
Istambul-phber1,-10.296799,-7.151084
Istambul-phbic1,16.070492,-0.13432004
Istambul-phcet1,3.3681,-5.1933994
Istambul-pisog1,13.127428,3.5766544
Istambul-pkbay1,6.358298,0.43250543
Istambul-pmyel11,15.97696,-3.4617455
Istambul-pnakt1,-5.4792995,-5.214286
Istambul-pnkok1,-1.861234,-7.6590123
Istambul-pnsog1,21.081333,2.7785258
Istambul-pnusa1,-7.0834684,-5.0507536
Istambul-podog11,14.975593,3.020457
Istambul-psgul1,9.465494,2.058186
Istambul-pssen1,7.763599,2.4329824
Istambul-pssog1,-8.58889,-8.491429
Istambul-psyil1,3.36169,2.6017044
Istambul-pukab1,-11.746951,-7.0941825
BrainLat:CL-sub-30003,-15.7217455,5.5424204
BrainLat:CL-sub-30006,-11.860778,-3.1616123
BrainLat:CL-sub-30016,-11.975798,-5.3036423
BrainLat:CL-sub-30019,-1.4059715,1.4346868
BrainLat:CL-sub-30021,4.933284,-10.995848
BrainLat:CL-sub-30023,7.787447,-4.4786654
BrainLat:CL-sub-30024,-16.818783,-0.18385191
BrainLat:CL-sub-30027,-1.5399429,3.8705165
BrainLat:CL-sub-30033,21.744326,5.6935945
BrainLat:CL-sub-30035,-6.8803988,2.012541
BrainLat:CL-sub-100010,-4.8603735,-10.125107
BrainLat:CL-sub-100011,4.667881,-5.4110146
BrainLat:CL-sub-100043,-3.4489672,5.9619007
BrainLat:AR-sub-10002,-2.0162823,10.083429
BrainLat:AR-sub-10003,-17.371185,3.2279525
BrainLat:AR-sub-10004,-2.9584446,-12.575107
BrainLat:AR-sub-10006,12.477005,0.8084204
BrainLat:AR-sub-10009,-1.952863,6.1116033
BrainLat:AR-sub-30001,-4.036866,3.5375783
BrainLat:AR-sub-30004,-5.935272,-11.009058
BrainLat:AR-sub-30008,10.763764,-0.2695991
BrainLat:AR-sub-30012,-5.098519,6.5440645
BrainLat:AR-sub-30015,-7.8187227,2.7742064
BrainLat:AR-sub-30020,-6.808891,-9.903773
BrainLat:AR-sub-30022,8.752339,-4.378093
BrainLat:AR-sub-30026,4.693411,0.31744197
BrainLat:AR-sub-100015,13.931033,-1.0727293
BrainLat:AR-sub-100018,0.68360233,5.8478603
BrainLat:AR-sub-100020,-2.3983345,-3.8607526
BrainLat:AR-sub-100022,3.9977143,1.049194
BrainLat:AR-sub-100024,18.358826,4.331402
BrainLat:AR-sub-100026,8.677764,-2.5163207
BrainLat:AR-sub-100028,-2.0050936,10.082499
BrainLat:AR-sub-100031,-5.025248,-11.21648
BrainLat:AR-sub-100033,-11.365253,-0.43614244
BrainLat:AR-sub-100035,-1.1022193,-12.17738
