,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
Istambul-faledev1,-0.3233719506049017,-0.3552803076934802,0.028078858061518677,0.32200997685419747,-0.30426170367236444,0.4146976497488041,-0.060064240756509964,-0.17490090292372107,-0.14197397315203575,-0.08916515731568965,0.18817943134626255,0.12149408941563265,0.0663057403993928,0.12127620084219408,0.18193739548729385
Izmir-35,0.19419592201690414,0.4307013841340107,-0.36064968044406026,0.16885102061337084,0.35132042169002187,-0.37458240200436443,0.3410317184481953,-0.17479896901692416,0.0881339757344955,0.16564113000734873,-0.21822001524910553,0.06743574454589901,0.011217998249868627,0.07615207397684098,-0.04348738647537995
Izmir-134,-0.8155838888753358,0.24355757841128642,0.13326427431473362,-0.014084443258069733,-0.5556312080471574,0.36209873766502215,0.10558295005850035,-0.03147026345961328,-0.2559325636783996,0.06099895393496445,0.17844964942979724,0.021872770162460083,0.08405970463774656,0.0026137424075199462,-0.1162473493465718
Izmir-153,-0.832927019058861,-0.5788745777440409,0.509385137177694,0.3714134091906706,0.18367964403643722,-0.21941955703596353,0.05374766721788932,-0.10435359874265665,0.14638687440464188,0.02107291497093689,-0.16592961749209278,-0.05951280149663419,0.054986495658871704,-0.07489799459893434,-0.10679804880664175
Istambul-falherb1,-0.8888287967465797,0.39821907723804956,-0.6017553843015268,-0.003263604786148072,-0.300640165313335,-0.21771550421771077,-0.20922188368233904,0.011502962284116444,-0.07037898384390279,0.29214222911136134,-0.2648851358274193,0.119886981722062,-0.025917402903361118,-0.11948603495778976,0.136351532038557
Istambul-febuyig1,2.2000914811442516,-1.3576688095352671,0.6792352908584333,-0.1564236507433081,-0.24666777914082305,0.28361570123653707,-0.5381762838303203,0.3623036594888742,-0.03833115506954583,0.09446879858619459,-0.09107872246385995,0.11338162927014449,0.01929411577549656,-0.06259050622737432,-0.1587612690139209
Newcastle-73,0.2540509924843162,0.09669490239614377,-0.3054680741427296,-0.23105087743708969,-0.4161147382132254,-0.789432479130637,-0.3893189024071952,0.08637676269414263,-0.25940428285370326,0.002654285919647839,-0.11008460029915997,0.19843937884872898,-0.029724007866769386,0.060405026160344474,0.09814738036261851
Istambul-pfdum1,2.300043631269356,-1.1290292107702748,-0.37340928736701184,-0.7135798797817191,0.6621842370436635,0.517626941355034,-0.23174413457739884,-0.1310294989665339,-0.2962071955907948,-0.12975371823868798,0.10741807071171273,-0.2209264420484669,0.0411175294654439,0.15151815602131935,-0.0979417338570617
Miltiadous-10,-0.45310965868574,-0.34670784642802616,-0.1060776478568505,0.34551372019120224,0.2938972721999225,-0.11136352161959975,0.07169488263556507,-0.10245006327307256,-0.14171409004753968,-0.007183476584303054,-0.026550631842610046,0.009209984103639438,0.033362197550497505,-0.00700286139240647,-0.13126081297284273
Istambul-falmcek1,-1.3878743921183485,1.4732599877203454,0.29207375107990935,-0.16970883403917325,0.20600472108198203,0.6009350243239648,-0.6129286932744835,0.15418071692709803,0.20962372860075673,-0.39250470218539074,-0.31304125696488866,0.5425375035063947,0.4704872108798477,0.4085782754061157,0.10348963879581285
