,0,1
Newcastle-53,0.10550207863076719,1.5433225083673066
Newcastle-54,-0.8325618541707165,0.28512479084023323
Newcastle-56,-0.14522375120245712,-0.6204572080658289
Newcastle-57,-1.0614968131171636,-0.8543725935012358
Newcastle-58,-0.0012063790321166985,-0.6925860271262536
Newcastle-61,-0.624079660285378,-1.5966867693189692
Newcastle-62,-0.20437845113191552,-1.3178645037513186
Newcastle-65,-1.111500268564973,-0.7257720612694927
Newcastle-66,-1.1978099361511336,-0.29746442081093205
Newcastle-68,-0.9818978720322321,-0.5389275962927844
Newcastle-70,1.2490171391240605,-0.6500962239273551
Newcastle-72,0.14006270405642202,-0.17572563395839066
Newcastle-73,2.2057861187312744,-0.7084288844968256
Newcastle-75,0.4698212989350502,-1.788959537156608
Newcastle-76,-0.9676968442208694,-1.1260011081613068
Newcastle-77,-1.8351978771565398,-0.05566232178650211
Newcastle-78,-0.8697060036313266,-0.43138062816241035
Newcastle-80,-0.8115332712415507,0.8276946788325323
Newcastle-81,0.3605133800161247,-0.5775075937857942
Newcastle-82,0.5455273691259136,-0.7349372096925918
Newcastle-83,-1.27831987382242,0.035693103910326256
Newcastle-84,-0.6628595437631619,-0.2048717912122481
Newcastle-85,-1.9758069016304256,-3.839281441760812
Newcastle-96,-1.301589456818813,-1.8707791174874846
Newcastle-97,-2.0414006589013223,-0.5978719313464433
Newcastle-98,-0.3638723388847732,-1.0507284845019753
Newcastle-100,-1.696555150131923,0.441224847187941
Newcastle-101,-0.5057711005375694,-0.12361878808177228
Newcastle-102,-1.6213453059863416,-0.5887422847743983
Newcastle-104,-0.6575066104589566,0.7000807476330233
Newcastle-106,0.3245735469883269,0.12017975786082095
Newcastle-108,-0.5411408579393499,0.5141018199389201
Newcastle-109,0.5286166807271286,0.23521117108433606
Newcastle-110,-0.058184587516092394,-1.1765550542171412
Newcastle-111,0.7683660629892158,-1.4504926258453794
Newcastle-112,-0.20634981582431064,-1.1664490019728986
Izmir-13,-0.4630953536438658,0.4234631088399086
Izmir-16,-0.22215518289056968,1.2968811056223026
Izmir-17,-0.5530173651205724,0.5992513995407529
Izmir-18,2.026025674944609,-0.5118639687606856
Izmir-21,0.377741107737017,-1.9360594275490646
Izmir-22,1.1985103842617517,-0.4923455283946724
Izmir-23,-1.1603689084386404,0.4168902630257698
Izmir-24,-0.9090836657864594,-0.20293706441509526
Izmir-26,0.5578302741767033,-0.8596074720910538
Izmir-28,0.8854433041858121,-0.4222075912385834
Izmir-29,-0.7891472416364166,1.3624264840696565
Izmir-30,-1.1965678279611824,0.26828839334742094
Izmir-31,-0.1504258042793316,0.38429047362894936
Izmir-33,1.1380170318082485,0.062303722800132785
Izmir-34,-0.23862570985184625,1.1818167241983197
Izmir-35,0.8118703342631963,-0.779588557400791
Izmir-36,0.3180714981485195,-0.3283333153980345
Izmir-38,0.43966859695719623,-1.064431974875928
Izmir-39,1.0756334475568774,-0.6229647081584898
Izmir-40,0.8927000260017108,-1.673921802477196
Izmir-41,-0.006034341918515339,-0.8764022702840901
Izmir-42,-0.2024357891576211,0.7146190476374402
Izmir-44,0.5990068759151312,-0.4375172174734996
Izmir-46,0.3312432354075302,-2.0291272194730214
Izmir-47,-1.4625845239289263,-1.3877556608835897
Izmir-48,-0.25023764456006703,-0.7590845237197733
Izmir-50,2.135695531889181,-1.0480929847603353
Izmir-52,0.3175052853082049,-1.2376378078346724
Izmir-87,0.7544564238837631,0.8442103904862388
Izmir-88,-0.8001666736947949,0.6612598992403027
Izmir-89,-0.646757972336692,-1.7926650204408143
Izmir-90,0.5357916387611952,-1.2268564476746004
Izmir-92,2.203960526329191,-0.9200274355982694
Izmir-94,0.21522622994382729,-0.05090549638159723
Izmir-95,0.01981278812364344,-1.0297547277389658
Izmir-113,0.6963786670102823,-2.6157826870077683
Izmir-114,3.1505935846015936,-0.47810612063159524
Izmir-116,0.8210365280412846,-0.01718961966808769
Izmir-117,-0.4224294696526563,0.2758982838155637
