,Hjorth#Complexity#C3,Hjorth#Complexity#C4,Hjorth#Complexity#Cz,Hjorth#Complexity#F3,Hjorth#Complexity#F4,Hjorth#Complexity#F7,Hjorth#Complexity#F8,Hjorth#Complexity#Fp1,Hjorth#Complexity#Fp2,Hjorth#Complexity#Fpz,Hjorth#Complexity#Fz,Hjorth#Complexity#O1,Hjorth#Complexity#O2,Hjorth#Complexity#P3,Hjorth#Complexity#P4,Hjorth#Complexity#Pz,Hjorth#Complexity#T3,Hjorth#Complexity#T4,Hjorth#Complexity#T5,Hjorth#Complexity#T6
min,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
max,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
mean,0.15492710168921467,0.1849260441076007,0.17477566393142127,0.20081999160439662,0.09537115465826045,0.21338594772085137,0.17318921080957486,0.17095926098176756,0.15634957901722638,0.10099473787789748,0.17081511736078556,0.15295953974463558,0.1437837581993128,0.16961698998285513,0.1295901489140259,0.09771834036878985,0.1888961771720932,0.17468278186747155,0.15059598214789136,0.13524287448981906
std,0.09561769267297403,0.11284132730267876,0.1055058446300315,0.10567125519320056,0.0620769817991221,0.11915108727449325,0.10890879087460116,0.1106410305770467,0.09554345086993525,0.07455379183423143,0.09853753158424144,0.1106638825682427,0.11043169405000326,0.12943043800113246,0.09925853329851639,0.06532696386024703,0.11549669007971944,0.09680195891971287,0.10503040379546509,0.0936333877882996
