,r,p
Delta_Frontal,-0.029866373143008097,0.6551638993401493
Delta_Central,-0.011335360084874829,0.8654282704007775
Delta_Parietal,-0.038357754937865154,0.566199847887278
Delta_Occipital,-0.023971598235124906,0.7200250185718692
Delta_Temporal,-0.04390768930144413,0.5113520146290091
Delta_Limbic,0.013595753889855379,0.8389278828093288
Alpha1_Frontal,-0.027083756393481144,0.6854961014290524
Alpha1_Central,0.00368693599093511,0.9560431485608409
Alpha1_Parietal,-0.04235406411325586,0.5264235951650656
Alpha1_Occipital,-0.03166541249715658,0.6358460597146537
Alpha1_Temporal,-0.08025930787635087,0.2294366856798192
Alpha1_Limbic,-0.038435027566064546,0.5654173515695097
Theta_Frontal,0.025005658377446737,0.7084850784402139
Theta_Central,0.009440217880236591,0.8877642500839037
Theta_Parietal,-0.017659590283474056,0.7917565529985077
Theta_Occipital,0.00989218016071434,0.882428735216955
Theta_Temporal,-0.030401492245116467,0.6493931163319367
Theta_Limbic,0.042434885667203014,0.5256340315516612
Alpha2_Frontal,-0.02113762094806944,0.7519710993155728
Alpha2_Central,0.0021655929635906045,0.9741725906692563
Alpha2_Parietal,-0.034927698251860186,0.6014432022457324
Alpha2_Occipital,0.01090876544421503,0.8704474241893524
Alpha2_Temporal,-0.06945676643704479,0.2985117201283499
Alpha2_Limbic,-0.02514584819651646,0.7069256186015225
Alpha3_Frontal,0.030833234577442307,0.6447523237534213
Alpha3_Central,-0.0010201523057503687,0.9878317629601254
Alpha3_Parietal,0.009399356029560577,0.8882468860808417
Alpha3_Occipital,0.03953527685226716,0.5543321156956678
Alpha3_Temporal,0.001744831059951252,0.9791894368070871
Alpha3_Limbic,0.027219088319842523,0.6840086989271643
Beta1_Frontal,-0.029754473960592172,0.6563732375509275
Beta1_Central,-0.028120719345149328,0.6741303767573921
Beta1_Parietal,0.029672887726800715,0.657255536194958
Beta1_Occipital,0.12339736377496802,0.06404501933171922
Beta1_Temporal,-0.032839370304971124,0.6233706136872
Beta1_Limbic,0.02038516861892931,0.760527143646192
Beta2_Frontal,-0.05213013243999106,0.43546589701078536
Beta2_Central,0.03422397982951576,0.6087936162058629
Beta2_Parietal,0.06151981421760493,0.3572647580336806
Beta2_Occipital,0.08661117327573273,0.19453811735295426
Beta2_Temporal,-0.08097135904139403,0.22531777973517142
Beta2_Limbic,0.0366150115926246,0.5839832682117257
Gamma_Frontal,-0.07643384057785668,0.2524761083322228
Gamma_Central,-0.00986708256744561,0.8827248812350474
Gamma_Parietal,-0.03199328467652115,0.6323512761004979
Gamma_Occipital,-0.003758338122723689,0.9551927500866263
Gamma_Temporal,-0.09280613548593533,0.16439277245665454
Gamma_Limbic,-0.026510979889491474,0.6918047138427648
