,Spectral#Flatness#C3#delta,Spectral#PeakFrequency#C3#delta,Spectral#Entropy#C3#theta,Spectral#PeakFrequency#C3#theta,Spectral#RelativePower#C3#alpha,Spectral#Entropy#C3#alpha,Spectral#RelativePower#C3#beta,Spectral#Diff#C3#beta,Spectral#EdgeFrequency#C3#gamma,Spectral#RelativePower#C4#delta,Spectral#Entropy#C4#delta,Spectral#EdgeFrequency#C4#delta,Spectral#RelativePower#C4#theta,Spectral#Flatness#C4#theta,Spectral#PeakFrequency#C4#theta,Spectral#Entropy#C4#alpha,Spectral#RelativePower#C4#beta,Spectral#Entropy#C4#beta,Spectral#EdgeFrequency#C4#beta,Spectral#Diff#C4#beta,Spectral#RelativePower#Cz#delta,Spectral#Entropy#Cz#delta,Spectral#Diff#Cz#delta,Spectral#EdgeFrequency#Cz#theta,Spectral#Diff#Cz#theta,Spectral#Entropy#Cz#alpha,Spectral#EdgeFrequency#Cz#beta,Spectral#Diff#Cz#beta,Spectral#Flatness#Cz#gamma,Spectral#PeakFrequency#F3#delta,Spectral#RelativePower#F3#theta,Spectral#EdgeFrequency#F3#theta,Spectral#RelativePower#F3#alpha,Spectral#Entropy#F3#alpha,Spectral#EdgeFrequency#F3#alpha,Spectral#EdgeFrequency#F3#beta,Spectral#RelativePower#F3#gamma,Spectral#PeakFrequency#F4#delta,Spectral#Diff#F4#delta,Spectral#RelativePower#F4#theta,Spectral#Entropy#F4#theta,Spectral#Flatness#F4#theta,Spectral#Diff#F4#theta,Spectral#RelativePower#F4#alpha,Spectral#Entropy#F4#alpha,Spectral#EdgeFrequency#F4#alpha,Spectral#RelativePower#F4#beta,Spectral#Entropy#F4#beta,Spectral#Diff#F4#beta,Spectral#PeakFrequency#F4#gamma,Spectral#Entropy#F7#delta,Spectral#Diff#F7#delta,Spectral#Entropy#F7#theta,Spectral#Flatness#F7#theta,Spectral#Diff#F7#theta,Spectral#EdgeFrequency#F7#alpha,Spectral#Diff#F7#alpha,Spectral#Flatness#F7#beta,Spectral#PeakFrequency#F7#beta,Spectral#Diff#F7#beta,Spectral#RelativePower#F7#gamma,Spectral#Entropy#F7#gamma,Spectral#Flatness#F7#gamma,Spectral#EdgeFrequency#F7#gamma,Spectral#Diff#F7#gamma,Spectral#EdgeFrequency#F8#delta,Spectral#PeakFrequency#F8#delta,Spectral#Diff#F8#delta,Spectral#Entropy#F8#theta,Spectral#Flatness#F8#theta,Spectral#EdgeFrequency#F8#theta,Spectral#PeakFrequency#F8#theta,Spectral#Diff#F8#theta,Spectral#RelativePower#F8#alpha,Spectral#Entropy#F8#alpha,Spectral#Flatness#F8#alpha,Spectral#EdgeFrequency#F8#alpha,Spectral#PeakFrequency#F8#alpha,Spectral#Diff#F8#alpha,Spectral#Entropy#F8#beta
min,0.0509182587265968,1.5,1.151763916015625,4.0,0.0279211048777455,0.7442899942398071,0.1025464556317767,-0.0179233525195741,32.666666666666664,0.0043147383191324,2.3914403915405273,1.8125,0.0385831948067071,0.0003273641632404,4.0,0.7515767812728882,0.0872867948920952,2.8027665615081787,14.333333333333334,-0.0189547743357252,0.0063940862251482,2.3342950344085693,-0.0023598169749069,4.875,-0.0014320746267912,0.8624718189239502,14.0,-0.0135851336235646,0.2692582905292511,1.5,0.0474402795886815,4.666666666666667,0.0452769257649706,1.3954503536224363,8.0,14.333333333333334,0.0083935093632925,1.5,-0.0023354615368589,0.0431263862004982,1.1906776428222656,0.0012420006096363,-0.0018399437394691,0.0324877511419012,1.134119987487793,8.0,0.0603224122334778,2.92191481590271,-0.0114669633367157,30.0,2.4625208377838135,-0.0037223704202915,1.2091940641403198,0.0019940820056945,-0.0010115870427398,8.0,-0.012289070058614,0.0737160816788673,12.0,-0.0089394756990562,0.0115041382902009,2.6908295154571533,0.2901524603366852,34.0,-0.0007046940736472,1.75,1.5,-0.0037228265773592,1.1861306428909302,0.0008735780720598,4.833333333333333,4.0,-0.0016965228860499,0.0320775146291018,1.1217468976974487,0.032465036958456,8.0,8.0,-0.0132685992430197,2.9550230503082275
max,0.2047940343618393,4.0,4.012426376342773,8.0,0.5774885522098882,3.1326792240142822,0.5942947724951367,0.0006389727592856,40.0,0.6454136492891944,4.088890552520752,3.9583333333333335,0.7443561916348792,0.2648341357707977,8.0,3.1609387397766113,0.5894047539979157,4.220450401306152,23.0,0.0007476139677843,0.6374020414787376,4.103015899658203,0.0015492138750611,7.875,0.0149135359024512,3.146636724472046,23.333333333333332,0.0005516984965652,0.3964833617210388,4.0,0.7091097793498633,7.875,0.6721481563285279,3.156562566757202,12.0,23.333333333333332,0.4196124940261369,4.0,0.0010529283224135,0.7363052125514287,3.9814035892486577,0.257999449968338,0.0120917057538463,0.6977707051664458,3.154764175415039,12.0,0.531512819970449,4.214358329772949,0.0002723876677919,44.0,4.083577632904053,0.0015273208312767,3.973060607910156,0.251617282629013,0.0101418707345146,12.0,0.008379321162162,0.2655018270015716,30.0,0.0003124970535282,0.4085441301617738,2.99556303024292,0.3965389132499695,39.333333333333336,0.0010796043400963,3.75,4.0,0.0014043137975932,3.965571880340576,0.2544813156127929,7.833333333333333,8.0,0.0111138310130627,0.7331899748212417,3.137479543685913,0.3655577003955841,12.0,12.0,0.0107847279602234,4.216582775115967
mean,0.1161131821916918,2.339636258660508,3.4216819814391277,6.280071208622017,0.19791241596246034,2.8961487000175765,0.3187476256396278,-0.0009471374638250343,36.38760585065435,0.13662065176506913,3.7757052485992397,2.489005966127791,0.22715912708588326,0.1656199179132489,6.2463433410315625,2.904651304384302,0.3071054306723306,4.016842709953185,18.397228637413395,-0.0009962381596871877,0.13603026031029683,3.765118888839563,-0.00020014584847401472,6.207274826789838,0.0002763104077027639,2.837581134145309,18.46651270207852,-0.001087643304538159,0.37933510428350464,2.2224307159353347,0.20597874222361506,6.170227097767514,0.2131309290124085,2.8825535783866814,9.712663587374903,18.876635873749034,0.13500139784454737,2.282958044649731,-0.00019830491721010694,0.2183864342111272,3.4505201126631633,0.17042253858328626,0.0001984227651097266,0.21298616014798571,2.8809130851170757,9.74788298691301,0.29049466521465755,4.059192142365436,-0.0007024342651824096,34.86374133949192,3.7471658415386915,-0.0002506908456789038,3.4991462595468303,0.17498771870168955,0.00011619757313533764,9.714588144726713,-0.0002711467569104201,0.23155282030858565,15.07409545804465,-0.0005702552799147508,0.14031779622345467,2.9685264732215475,0.38604957119972544,36.65280985373364,-3.9148263926237234e-05,2.445943995381062,2.2642898383371826,-0.0002333993358623427,3.5469639672968736,0.17890384855394373,6.138953040800617,6.158150500384911,0.0001246968082317625,0.20964261117482744,2.900799854110075,0.2931862160580676,9.71420323325635,9.59709391839877,-0.00035032223736619953,4.07640412442954
std,0.019712798134566886,0.5055343270739735,0.6655631364147544,0.8677710049785406,0.10429001669054773,0.3084595918877302,0.0986018271837745,0.0014128751702202136,0.8889561994951362,0.07634586600774847,0.1439167304452716,0.2589206401139483,0.1383385548479538,0.06425166058793234,0.8514591001671599,0.2846109474954052,0.0936818128444012,0.1970266234509043,1.5837436904017532,0.0013073345157852269,0.080562661818548,0.1498739037913055,0.00030804149057564424,0.47956691650023514,0.0008873543844293994,0.34220432430306424,1.5629690228461615,0.001457714732787305,0.018323253537994844,0.4692652481961827,0.11317354931978528,0.478566111619241,0.12152415754463818,0.2597149512347424,0.6707016718941287,1.4891228572841209,0.07112574939969586,0.5212559359610628,0.00033644965074169534,0.12339232700380996,0.5985357458280988,0.060589962808247286,0.0007590618225409083,0.12305510109796154,0.27765759294547915,0.6879283047739733,0.08880929407772073,0.15500767544124205,0.0008541931625827512,3.356476371002722,0.14792110831537425,0.00036678323252892854,0.5541672090436215,0.05670940360077558,0.0005316387488286271,0.6660860986453263,0.001225168274780355,0.02866510186308968,3.410465209396806,0.0007798526630953165,0.06821468801733666,0.025504151991478406,0.009238644872853566,0.8089498941070163,0.00014684501104690845,0.2780530728886784,0.520917896858234,0.00037397282022567864,0.4778624752688465,0.05114805254033108,0.4641552788719308,0.914460060145278,0.0006004440157406708,0.11612575982415124,0.24923066844674527,0.06073240120147309,0.628956348961496,1.109330815848849,0.001259833470802169,0.12767038792672575
