,r,p
Delta_Frontal,0.31164473027686235,8.39304408210234e-07
Delta_Central,0.044014308346892295,0.49736867061862233
Delta_Parietal,0.02215531636967172,0.7327432676330836
Delta_Occipital,0.11144967591851392,0.08490149335274748
Delta_Temporal,0.010241265253566077,0.8745885422221523
Delta_Limbic,0.45088033694325214,2.0269399582005217e-13
Alpha1_Frontal,0.10623158193375827,0.10063366272726763
Alpha1_Central,-0.12182178468861476,0.059507332989174315
Alpha1_Parietal,-0.2067809916374997,0.0012747604835146376
Alpha1_Occipital,-0.17140757146643057,0.007784056176154008
Alpha1_Temporal,-0.18592022444397296,0.003846663221914608
Alpha1_Limbic,0.09689415451939198,0.1344544549665084
Theta_Frontal,0.2926889537034036,3.9873055025526405e-06
Theta_Central,-0.014550715486815871,0.8225598937143571
Theta_Parietal,-0.10157732200044486,0.11653717952914033
Theta_Occipital,-0.022197129268971917,0.7322581198498062
Theta_Temporal,-0.07508840220978703,0.24652630537758077
Theta_Limbic,0.3398098189254917,6.726777756277008e-08
Alpha2_Frontal,0.04324087397995703,0.5049642358129561
Alpha2_Central,-0.09525884942224949,0.1411864670400489
Alpha2_Parietal,-0.1001313589893301,0.12185840583941795
Alpha2_Occipital,-0.014470982707825347,0.823516244745277
Alpha2_Temporal,-0.08064589677670532,0.2131807316425974
Alpha2_Limbic,0.17140291143420075,0.0077857543570261055
Alpha3_Frontal,0.03888003751929304,0.5489001848536587
Alpha3_Central,-0.03688153542433929,0.5696434004998214
Alpha3_Parietal,-0.004219967711652613,0.9481465856346186
Alpha3_Occipital,0.042960042669469095,0.5077371131330777
Alpha3_Temporal,0.020483165181434948,0.7522300331929691
Alpha3_Limbic,0.17192360434978848,0.007598034493044313
Beta1_Frontal,0.15183710424612523,0.018590999511651007
Beta1_Central,-0.16082402843668014,0.012605381474514283
Beta1_Parietal,-0.22526389882058967,0.0004366787967131423
Beta1_Occipital,-0.09511290972827531,0.14179954556606433
Beta1_Temporal,-0.17875652986863938,0.0054824325214526395
Beta1_Limbic,0.2256367168280864,0.00042695165214480627
Beta2_Frontal,0.23705056953628817,0.000210423504674873
Beta2_Central,-0.09215170035547252,0.15468263943589178
Beta2_Parietal,-0.2151502382434961,0.0007934515064775497
Beta2_Occipital,-0.13929319818020555,0.030991487007115723
Beta2_Temporal,-0.14563408684255996,0.024044475692111742
Beta2_Limbic,0.3328255625029538,1.2882742127561148e-07
Gamma_Frontal,0.20837934054647583,0.0011660260563496122
Gamma_Central,0.0001396106917746602,0.9982833146707064
Gamma_Parietal,-0.18971060855120253,0.0031727989299661073
Gamma_Occipital,-0.12537107873835238,0.05240881612394428
Gamma_Temporal,-0.1335447275328242,0.038702719301264045
Gamma_Limbic,0.3809052532918281,1.049292962715171e-09
