,0,1
Istambul-pfdum1,2.77546,-18.700323
Istambul-phber1,3.5173473,8.768661
Istambul-phbic1,5.4462137,-13.32271
Istambul-phcet1,4.2685165,-5.454428
Istambul-pisog1,3.3331273,-14.9763
Istambul-pkbay1,5.1792774,-9.509611
Istambul-pmyel11,7.1271963,-11.774427
Istambul-pnakt1,5.7287984,6.7047834
Istambul-pnkok1,4.3367867,0.7504704
Istambul-pnsog1,6.0456786,-17.665709
Istambul-pnusa1,5.275064,6.853513
Istambul-podog11,2.9281373,-14.155363
Istambul-psgul1,4.238448,-11.431935
Istambul-pssen1,3.1078744,-11.203617
Istambul-pssog1,5.3228145,8.340121
Istambul-psyil1,-0.00864668,-10.180852
Istambul-pukab1,0.09164998,11.879058
Miltiadous-1,-0.2661811,12.760379
Miltiadous-2,0.6009792,-5.9122477
Miltiadous-3,-2.582067,-12.420773
Miltiadous-4,-8.955771,11.195084
Miltiadous-5,0.5860657,14.510582
Miltiadous-6,1.0933136,-7.4113336
Miltiadous-7,0.35464397,12.830751
Miltiadous-8,-6.49031,11.963335
Miltiadous-9,-1.2780203,15.477051
Miltiadous-10,-5.114534,4.0408545
Miltiadous-11,2.594721,4.0204744
Miltiadous-12,-2.3398612,10.174723
Miltiadous-13,-3.2715435,12.918277
Miltiadous-14,-8.814979,11.859192
Miltiadous-15,1.0749152,-7.874882
Miltiadous-16,-5.6295285,12.4421215
Miltiadous-17,-2.4027314,13.048831
Miltiadous-18,7.8544655,0.15723908
Miltiadous-19,-9.887112,9.165141
Miltiadous-20,-7.7384915,10.996749
Miltiadous-21,-2.9699469,5.920473
Miltiadous-22,-3.615346,9.594271
Miltiadous-23,-2.1451054,6.7187514
Miltiadous-24,8.528092,0.97404194
Miltiadous-25,5.9667354,12.33143
Miltiadous-26,-9.7551775,10.2785635
Miltiadous-27,-3.3070617,13.791583
Miltiadous-28,8.715489,1.4569497
Miltiadous-29,-0.48951307,13.150764
Miltiadous-30,0.22036316,15.426425
Miltiadous-31,0.036695637,-6.1168337
Miltiadous-32,8.4238615,0.08805917
Miltiadous-33,-2.6422365,5.282693
Miltiadous-34,-1.8350598,12.284609
Miltiadous-35,-1.2406751,14.354057
Miltiadous-36,3.3412838,-6.3340664
Miltiadous-37,-3.7013347,-11.62125
Miltiadous-38,-5.866931,6.2944183
Miltiadous-39,1.6180409,-12.384642
Miltiadous-40,-1.0947533,-2.8816905
Miltiadous-41,-2.923573,8.067873
Miltiadous-42,0.12840573,-8.373895
Miltiadous-43,-5.620782,9.909608
Miltiadous-44,4.629788,-7.3956685
Miltiadous-45,0.7305713,3.1931558
Miltiadous-46,2.6527882,-6.544114
Miltiadous-47,8.323831,5.8047714
Miltiadous-48,8.428383,6.90249
Miltiadous-49,1.5772506,-15.251438
Miltiadous-50,-4.127729,7.3836823
Miltiadous-51,-4.1798058,7.7789717
Miltiadous-52,-0.5453962,-3.5315552
Miltiadous-53,-0.34898576,-7.72004
Miltiadous-54,1.966238,-16.497627
Miltiadous-55,-0.9607869,-1.4312086
Miltiadous-56,1.3677858,-12.642041
Miltiadous-57,-1.2637317,-6.2217717
Miltiadous-58,-0.7390213,-8.26161
Miltiadous-59,-10.13887,10.993794
Miltiadous-60,-4.0332084,12.540746
Miltiadous-61,-4.9384565,8.01801
Miltiadous-62,-2.7425184,-3.676555
Miltiadous-63,-3.0557938,-1.8392576
Miltiadous-64,2.498449,-15.671719
Miltiadous-65,-3.912754,6.989915
