,0,1,2,3,4,5,6,7,8,9,10
Istambul-faledev1,0.3742169029318266,-0.2082492406213101,0.03536067173095363,0.05657906015495178,0.45627966281433924,-0.273303804966852,-0.042601691678384256,-0.2918442657694422,-0.1611165622793413,0.10783667189323651,0.07871104344760232
Izmir-35,0.41862282478204377,0.5074009624029499,0.9484017259790971,-0.22140746391728316,-0.24573578248266106,0.35712355045935856,0.46505950597583406,-0.09980414305539242,0.12758865451908266,-0.22200915746158512,-0.08407704095729808
Izmir-134,-0.8441878279901146,0.06581945428020022,0.1150458168614276,-0.04608295090473917,0.5666158146056472,-0.2391239759690314,-0.1371920830185419,-0.14114150122532285,-0.43796883022014654,0.06694019571044398,0.10585096024889819
Izmir-153,-0.7997096801507864,-0.7331231235095711,0.7774407110157782,0.6775030523506971,0.24819541310975246,0.14279020430424538,0.008609825572740927,-0.04872809167273206,0.2175561684202176,-0.1659987257067266,-0.12404754236095243
Istambul-falherb1,-0.3529869903397857,0.5388039494443243,0.07634557855765774,-0.48374151819958416,0.10612409751317452,0.5339398178898219,-0.1748140505541105,0.014941620812008805,-0.06547552271878525,-0.2500135473785162,0.11010512240958419
Istambul-febuyig1,3.358984983425321,-1.3522347867680633,-0.6904988471455259,0.5484745135076585,0.33953993780555874,-0.23881383977809406,-0.7127101116836734,0.24874122565054196,-0.03726945754492485,-0.1498294551378731,0.14056179283063272
Newcastle-73,-0.33049995613745037,0.06444971703437977,-0.24608044430134185,-0.05924968898602738,-0.13026978191451846,0.7942706040737337,-0.17611545992747463,0.10820742702909905,-0.08703754097690587,-0.1479110759023582,-0.13283359442268278
Istambul-pfdum1,3.381915415750525,-1.1218000691486194,-0.5295018959752402,-0.372546992880983,-1.0572222816843113,-0.46258771875535093,-0.2045606564678675,-0.4856147490989797,-0.1370346462679735,-0.10913435897452346,0.000831069564957945
Miltiadous-10,-0.6962966419846633,-0.44674457860365696,0.2976371082124276,0.04675511294112258,-0.0703060155239728,-0.039666571908161745,0.20041165465604135,-0.1237364743359332,-0.09519913599308004,0.06617203707201245,0.0026157535397843246
Istambul-falmcek1,-0.9107987329763666,1.639498618627219,-0.06729432465271332,0.3970762541242933,-0.19316266366535742,-0.3751410445634955,-0.7565653332838719,0.02018208564438916,0.05767441421126527,0.12193321642767264,-0.14934897090071447
Miltiadous-1,-1.2536181685310241,0.5632375409199624,-0.2776361398731674,0.10433073886609877,-0.11944011961433887,-0.17969957955138174,-0.2383542283767025,0.020412444382859486,-0.073906800104751,0.16904786068148028,0.13640912016063242
Istambul-pcaka,0.3697361896019845,0.11239212203638903,-0.22992900897087173,0.641310143603769,-0.541199570762741,0.025246946425440737,0.3593316966970218,-0.3689622301817797,-0.24758712197912083,0.19826204744352022,-0.3978111246938583
BrainLat:CL-sub-30021,-0.7356034454067873,1.3756369895213783,-0.5033060059869875,-0.4782224684853876,0.08387654974148662,-0.239883461679191,-0.2548342858967715,0.06545585756298629,0.05183917744987056,0.031865073559851305,0.1410037119617495
Newcastle-84,-1.507251101840565,-0.07021137522271666,-0.27301699776386057,1.2472116957696204,-0.3360888330201588,0.28416518833265536,0.06298806846756332,-0.009633744328327195,-0.22513416513230236,0.2562032485717939,-0.14135993620612028
Istambul-falmasi1,0.7899744425677261,0.1069722595520265,-0.17297494108091074,-0.293068367895565,-0.4771220379851739,0.646545477221186,0.11673306348014999,-0.012294074147842738,0.044139358689816485,0.311281633095978,-0.09893341306274932
Izmir-44,1.8833371463617603,0.30563907047863825,1.148746318710035,-0.6395882073813697,1.2151915630399723,0.38049211443510267,0.6247190549587215,0.09250614078777186,-0.1926032119563164,0.27550358281091725,0.2916433406604281
Izmir-138,1.6847891960697472,-0.46796026751451325,-0.17799855361374955,0.5977483179848293,0.13176273318626266,-0.5085652350742677,-0.31569358944605386,0.2014530654986174,0.028389782698503587,-0.15976926368188482,-0.021122976548773133
Miltiadous-41,-0.8179769333689757,-0.45411217555501965,-0.31638475356689166,0.33983123621215916,0.019880267377541984,-0.08641129238694649,0.007398251145254907,-0.31546381034720394,0.049314340485869135,0.09222472152899333,-0.16610079741259265
BrainLat:AR-sub-100024,0.6037779369067308,0.20283711159116039,-0.6457706251911202,-0.6253926196011881,0.35201564256127466,-0.2194361129885107,0.3422915975429412,0.040344505503901965,-0.06025908891010422,-0.11850258524390127,-0.2507222660096421
Izmir-26,1.9371450071699328,-0.09110759213001118,-0.44500776693621824,-0.9107250680624879,-0.2594815071515528,0.5776787163105633,-0.6905829772828381,0.2876170575404662,-0.21898928618187055,0.014457560269227909,-0.22959574463744345
Izmir-142,-0.6753323795968139,-0.11517587445016128,0.12747959061976907,-0.2759931961016532,0.06415444416105093,0.29153246298999186,-0.16217707497684286,0.014389723044904648,-0.14082230047813116,-0.19436651238279115,-0.028282743390893327
Miltiadous-37,0.6134823450856035,0.7907813101239451,-1.1512614517484887,0.4796251802447685,-0.0895039483259046,0.0325342253584952,0.40637629234922834,0.05438024319827881,0.2443471214409624,0.11841655132545074,0.02836469523715785
Istambul-falmozb1,1.9799347779138765,0.24659154344377301,-0.24232770910261708,1.4184697930751522,1.7553767572577497,-0.14836723047225212,-0.7022085456394512,0.2033656456505254,-0.09428125010011129,0.1505750688790083,-0.16029373163930752
Istambul-falserg1,0.5964212760132198,1.1562653106987901,-0.44310868818372773,0.9294962125252145,0.018961598694995686,-0.10712780384300144,-0.10894420517162454,-0.036605877014467415,-0.07637896452425795,0.3514536352348633,0.08027549360510501
Izmir-31,0.6859426419233278,1.2394922793458278,1.1429506599468,-0.049798736304605594,-0.21223061701819845,-0.3931144857480402,-0.377794645346775,0.1868035990494614,0.09153827075840844,0.010300037014719833,-0.3034434678383434
Miltiadous-58,0.666894916167078,-0.8974985169970336,-0.2864357501090683,-0.22580932947513987,-0.06485561596175585,0.19597059066849548,0.043710128261351705,-0.20078033559449696,0.19012408942216594,0.24311581136830154,0.006384257767191796
Newcastle-68,-0.9376126544709596,0.03975235325617065,0.050552410762340495,0.6949078042709762,-0.14305188762672472,0.09531333658724805,0.03794329738607175,-0.10979431187321495,0.02122494025509537,-0.10076854103758877,-0.156720573318441
Miltiadous-7,-1.166067143977581,0.7464363144003138,-0.2571602847713195,0.3290187963489052,-0.14416110012608294,-0.2847280146654838,-0.18030731269836864,0.08037546481137507,-0.0077122326288081786,0.14248129243328625,0.017727673601058196
Izmir-24,0.1727998192818946,1.767005973099346,0.7753558467957186,-0.7727548900357524,-0.6885898175568362,-0.35728746100365066,-0.9461172912149979,0.4490358144469528,-0.18885161795873934,0.0010417072231913948,-0.22012645536850092
Istambul-frekakt1,1.950910686969242,-0.8725300733121409,-0.26424671326015364,0.24750757075050117,-0.028039721405183175,0.0554250603181022,-0.2695860287837253,-0.3694014932235968,0.04786401492468087,-0.3224537210495857,0.07999123627233533
Istambul-pcgul1,1.062894525268846,0.8010448726997054,0.11636281708001463,-0.601787160113179,0.06750645163729281,-0.01885169356065399,-0.14582260182222434,-0.02566860755947141,-0.17123602889700446,-0.025424868893593532,0.06460476680858154
Newcastle-102,-1.1518299435306643,0.29646715970400617,-0.31978054845332704,0.5352106502952478,-0.5690727173420952,0.30332264204451,0.004405103951780236,0.22219824359102755,0.2291219271621128,-0.3099829613914874,0.03993714164213822
Newcastle-54,-1.4878936879395481,-0.3587367175381104,0.2376263099577303,0.21616844084888992,-0.11169220806779229,0.03446630336630716,-0.06948774676743981,0.3733115037247237,-0.20689463323844523,-0.13111617030553294,-0.2433170396334674
BrainLat:AR-sub-30012,-0.9863793162498082,-0.3373799467948006,0.21689757358078648,-0.018187345004120982,0.58735470114964,0.022397056059998047,-0.16706526447328135,-0.39670210570852277,-0.031633689091503485,-0.1647273343785827,0.06272385799019485
Istambul-pssen1,1.2385448274237776,0.0833242024569182,-0.15769639138047511,0.5308678622633831,0.13089363231243362,0.674558433311106,-0.26111486415966445,0.028292870749187706,-0.027624190422129616,0.19776772820496547,-0.18964723859973015
Newcastle-100,0.04967865423095813,0.2996315467451726,-0.06985954731836033,0.4230933583154372,-0.18056444214422376,-0.13666181615049205,0.5736080718749452,0.2173472484080074,-0.002426060965053958,-0.045648549866387764,-0.05799149705218963
Miltiadous-11,-0.39306928254110457,0.5078316786027912,0.11813596754342177,-0.34138096991963357,-0.5776928909876474,-0.3307107557160752,0.49150520495866173,0.0379341442016516,0.005276730895253212,0.015063190036809473,0.2691975325651126
Izmir-124,-0.22046838272105732,-0.7007198121314802,0.3117101316877549,0.37039607954620224,-0.006091796902237188,-0.0791751881186782,-0.21377966668560694,-0.010063603008165544,-0.12144923270461273,-0.15530940756137762,-0.06058971259971424
Miltiadous-29,-1.2922752332655028,0.6930039418546071,-0.25665840338611995,-0.12645915504669383,-0.005287444304255615,-0.3555328992448195,-0.3630903120745469,0.05792307430781362,-0.009054805996594877,0.04098223914579134,0.02735668156954191
Istambul-psgul1,1.4235791053235047,-0.023398066447639778,-0.019819623372232385,0.23728996677290873,0.4347842742117425,0.2547341701361789,0.09755893274152075,-0.32690658510625764,-0.12547091524959847,-0.0013703744056986996,-0.1499086847392538
BrainLat:AR-sub-30015,-1.1886790464373156,-0.19645152202249674,-0.3111250428613157,-0.31336864820068505,0.33620245693622974,-0.09308018820621645,-0.032924268805186445,0.007667628226106406,0.1455513407815251,-0.16398748822053563,-0.11991870160631368
Istambul-falzbil1,1.5879992205697926,0.8342128720329935,-0.6553461420755796,-0.1530318919580765,-0.38853253687490114,0.09638509391665363,-0.05130924493903229,-0.14519002665458666,0.013107315577829322,0.16842358137495692,0.04538313608806381
Istambul-fmcimtas1,0.25330820863504466,0.5198467649015791,-0.08145952812030854,1.003354088657143,-0.667826386275386,0.8473429625206453,0.6448608668108713,-0.15750566064213234,-0.1279252151880743,0.6156540992573956,-0.027508126795502574
