,Spectral#Entropy#C3#delta,Spectral#Flatness#C3#delta,Spectral#PeakFrequency#C3#delta,Spectral#Diff#C3#delta,Spectral#RelativePower#C3#theta,Spectral#EdgeFrequency#C3#theta,Spectral#Diff#C3#theta,Spectral#EdgeFrequency#C3#alpha,Spectral#RelativePower#C3#beta,Spectral#Entropy#C3#beta,Spectral#EdgeFrequency#C3#beta,Spectral#PeakFrequency#C3#beta,Spectral#Flatness#C3#gamma,Spectral#PeakFrequency#C3#gamma,Spectral#Entropy#C4#theta,Spectral#EdgeFrequency#C4#theta,Spectral#Diff#C4#theta,Spectral#Flatness#C4#alpha,Spectral#Diff#C4#alpha,Spectral#Flatness#C4#beta,Spectral#Diff#C4#beta,Spectral#RelativePower#C4#gamma,Spectral#PeakFrequency#C4#gamma,Spectral#Entropy#Cz#delta,Spectral#Diff#Cz#delta,Spectral#RelativePower#Cz#alpha,Spectral#Entropy#Cz#alpha,Spectral#EdgeFrequency#Cz#alpha,Spectral#PeakFrequency#Cz#alpha,Spectral#RelativePower#Cz#beta,Spectral#Entropy#Cz#beta,Spectral#Diff#Cz#beta,Spectral#RelativePower#Cz#gamma,Spectral#Diff#Cz#gamma,Spectral#Flatness#F3#delta,Spectral#EdgeFrequency#F3#delta,Spectral#Flatness#F3#theta,Spectral#RelativePower#F3#alpha,Spectral#PeakFrequency#F3#alpha,Spectral#RelativePower#F3#beta,Spectral#RelativePower#F4#delta,Spectral#EdgeFrequency#F4#delta,Spectral#Entropy#F4#theta,Spectral#Flatness#F4#theta,Spectral#EdgeFrequency#F4#theta,Spectral#PeakFrequency#F4#theta,Spectral#RelativePower#F4#alpha,Spectral#Flatness#F4#alpha,Spectral#EdgeFrequency#F4#alpha,Spectral#Flatness#F7#delta,Spectral#RelativePower#F7#theta,Spectral#Entropy#F7#theta,Spectral#EdgeFrequency#F7#theta,Spectral#Diff#F7#theta,Spectral#RelativePower#F7#alpha,Spectral#Entropy#F7#alpha,Spectral#Flatness#F7#alpha,Spectral#EdgeFrequency#F7#alpha,Spectral#Diff#F7#alpha,Spectral#RelativePower#F7#beta,Spectral#Entropy#F7#beta,Spectral#Flatness#F7#beta,Spectral#PeakFrequency#F7#beta,Spectral#Entropy#F7#gamma,Spectral#Flatness#F7#gamma,Spectral#EdgeFrequency#F7#gamma,Spectral#PeakFrequency#F7#gamma,Spectral#Diff#F7#gamma,Spectral#Flatness#F8#delta,Spectral#Diff#F8#delta,Spectral#Entropy#F8#theta,Spectral#Flatness#F8#theta,Spectral#EdgeFrequency#F8#theta,Spectral#PeakFrequency#F8#theta,Spectral#Entropy#F8#alpha,Spectral#Flatness#F8#alpha,Spectral#PeakFrequency#F8#alpha,Spectral#Diff#F8#alpha,Spectral#RelativePower#F8#beta,Spectral#Entropy#F8#beta
min,2.428611516952514,0.0410984940826892,1.5,-0.0054483848907693,0.0204443543470797,4.75,-0.0026433353098885,8.0,0.0385934637854539,2.809358835220337,13.0,12.0,0.1767276525497436,30.0,1.1524291038513184,4.666666666666667,-0.0037123077587845,0.0047896052710711,-0.0101622831716667,0.0486494340002536,-0.0189547743357252,0.0049350224404493,30.0,2.3342950344085693,-0.0034596786399561,0.0237704205782928,0.8624718189239502,8.0,8.0,0.0372691550727458,2.896049737930298,-0.0135851336235646,0.0071274324205086,-0.0031152876848257,0.0486664026975631,1.7083333333333333,0.0019324659369885,0.018992853171783,8.0,0.021836040693747,0.0094535947123911,1.625,1.1906776428222656,0.0012420006096363,4.666666666666667,4.0,0.0192156272968634,0.0224197264760732,8.0,0.0326179265975952,0.013128329028976,1.2091940641403198,4.5,-0.0033573274971179,0.0100514088773064,1.118319034576416,0.0317074321210384,8.0,-0.0166222596138444,0.0266570476955417,2.310912847518921,0.0681607201695442,12.0,2.3305633068084717,0.1808795928955078,32.0,30.0,-0.0024309894652105,0.0208814516663551,-0.0044342860092001,1.1861306428909302,0.0008735780720598,4.75,4.0,1.1217468976974487,0.0297808703035116,8.0,-0.0133080078073059,0.0334064425127674,2.1540257930755615
max,4.204820156097412,0.2047940343618393,4.0,0.0012091886546841,0.7454362853020634,7.875,0.0159944027473102,12.0,0.7543134921935238,4.2207112312316895,26.333333333333332,30.0,0.3972082734107971,44.0,4.021227836608887,7.833333333333333,0.0075490437811822,0.3747370541095733,0.0189830785147933,0.2638233304023742,0.0021434161753859,0.5486781921411548,44.0,4.125934600830078,0.0015492138750611,0.7600890415150187,3.146636724472046,12.0,12.0,0.7400587676809356,4.213993549346924,0.0009296453596713,0.4383025196503077,0.0011669719679048,0.1814984083175659,3.5833333333333335,0.2606278657913208,0.775383417591707,12.0,0.647546851675933,0.82942086678189,3.5,3.99621844291687,0.2587190866470337,8.0,8.0,0.8145415663689679,0.3722915947437286,12.0,0.179268941283226,0.7065938017099861,3.994345426559448,7.916666666666667,0.0101418707345146,0.7416051610330864,3.1575393676757812,0.373418778181076,12.0,0.008379321162162,0.576437634815806,4.225624084472656,0.2655018270015716,30.0,2.99556303024292,0.3965389132499695,40.666666666666664,44.0,0.0016656219183156,0.1765741556882858,0.0017046851062332,3.979723691940307,0.2544813156127929,8.0,8.0,3.1391172409057617,0.3660669326782226,12.0,0.0107847279602234,0.6186523608954567,4.217188358306885
mean,3.794256406983037,0.11826163260939096,2.4073325360170994,-0.00021810382042152524,0.2271461374410507,6.087807995656004,4.774786096920895e-05,9.72999548771884,0.3011350102582509,3.951479453131334,17.93277516594787,14.946260232935384,0.3579219809723217,33.14614221605281,3.7509308559320256,6.165816073003352,0.00010943219642288515,0.29405406268124307,-0.00018804617561967013,0.20229453351887866,-0.0010524563165369186,0.09964539754371735,33.828295864716004,3.7855638336680144,-0.0002567324419174619,0.22764732391546308,2.9040446588083206,9.539680523411414,9.185442351823403,0.26526400397232036,3.988178287891889,-0.0007940770854836347,0.05568972800872681,-0.0002085995116870757,0.11782138228761768,2.504458237831036,0.2034553991281816,0.20856708913091757,9.352743543886575,0.263000445334746,0.17182754200992092,2.4818855093626353,3.756540526731046,0.20464036839115662,6.070453888391914,6.147123412138532,0.2104846042548772,0.2981971139592263,9.62147331706048,0.1160346088760577,0.20807213807928804,3.7581801286949075,5.988719924506214,-4.0065983076900745e-05,0.19525483059684848,2.9379544860487483,0.29955030117799336,9.59363266078886,-0.0003275501338060638,0.23339838958849685,4.00747817905194,0.2181041764246012,15.489502363902476,2.942370133176035,0.37401970993479544,36.47654272676884,35.47476052003282,-0.00011108644214256968,0.11721975097972401,-0.0003123553505843039,3.7728210816669803,0.20638841640656772,6.047065849440893,6.005487511502485,2.9225506871818356,0.2959060210203267,9.201364856636141,-0.0003444836668053326,0.23956069560980983,4.009721910173133
std,0.10307619206266343,0.015368790086175211,0.41090911643328637,0.0003447759348248251,0.10756465708637253,0.4545739911905366,0.00047858229814086667,0.5190318824772275,0.10732910730428954,0.20671199556596148,1.8796486909633778,3.0671044699430783,0.027885261015652134,2.8343269520244005,0.242195476615504,0.47983751107967976,0.000433587657857559,0.03763405813050354,0.0010404655765671664,0.04121795448440754,0.0013767893654874073,0.0832074434748444,3.2005572767308457,0.10334764035345151,0.000284403247744799,0.1075899440064187,0.19155141083016852,0.4995052253387128,0.8125965524391151,0.09962339438160421,0.15034002819444853,0.0007922785251769063,0.040720373781287095,0.0001960164790935913,0.015259406109418268,0.2057566232797825,0.03027177310677858,0.11419120625735366,0.8746746457158883,0.10729453136589509,0.08779394963487867,0.21557276050742957,0.2394755888787627,0.03170537174215357,0.4787910578627002,0.8664653905464437,0.11264384480926037,0.048367819749735814,0.4826706455062834,0.015350166714073823,0.09189955406832372,0.21017324226078707,0.485721484681918,0.00041349239520874204,0.10920258075626285,0.16066105263265412,0.042558285827136055,0.4527795028641104,0.0006800287824748595,0.0876704537057722,0.1932669168505064,0.033588756186570354,3.952225693835149,0.048135547115100215,0.020187759572680337,0.9735391623070838,3.1901317185619718,0.0002728287505063374,0.015750703738801077,0.00039238275726596064,0.17677114367914107,0.025116399605088865,0.465479845982884,0.9001820436661291,0.16783465675928175,0.044202581950730756,0.835181787379607,0.0007742153724193274,0.08152715954777415,0.19872453358478762
