,Hjorth#Complexity#T5,Hjorth#Complexity#F4,COH#Frontal(R)-Parietal(L)#delta,Hjorth#Complexity#T3,Spectral#RelativePower#F7#theta,COH#Frontal(R)-Temporal(L)#theta,Spectral#EdgeFrequency#O2#beta,COH#Frontal(L)-Temporal(R)#beta,COH#Temporal(L)-Parietal(L)#gamma,Spectral#EdgeFrequency#O1#beta,COH#Frontal(R)-Parietal(L)#theta,COH#Temporal(L)-Temporal(R)#alpha,COH#Frontal(R)-Temporal(L)#gamma,COH#Temporal(R)-Parietal(L)#beta,COH#Frontal(R)-Occipital(L)#theta,COH#Temporal(L)-Parietal(L)#beta,Hjorth#Activity#F7,COH#Occipital(L)-Occipital(R)#gamma,Spectral#Flatness#P3#beta,COH#Temporal(R)-Parietal(R)#alpha,Spectral#Entropy#P3#alpha,COH#Frontal(R)-Parietal(R)#theta,COH#Frontal(R)-Temporal(L)#delta,Spectral#Entropy#O2#alpha,Spectral#Entropy#T4#theta,Spectral#RelativePower#Cz#beta,Spectral#Diff#Pz#delta,COH#Parietal(R)-Occipital(L)#beta,Spectral#EdgeFrequency#Fz#beta,Spectral#Diff#Cz#gamma,Spectral#RelativePower#Fp1#gamma,COH#Frontal(R)-Parietal(L)#gamma,PLI#Frontal(R)-Parietal(L)#alpha,Spectral#Diff#F7#beta,Hjorth#Mobility#O1,Spectral#Flatness#T4#gamma,PLI#Parietal(L)-Occipital(L)#gamma,Spectral#Flatness#T6#delta,COH#Parietal(R)-Occipital(L)#alpha,COH#Parietal(R)-Occipital(R)#beta,Spectral#Diff#T4#delta,Spectral#Diff#F8#alpha,COH#Temporal(R)-Occipital(L)#beta,COH#Parietal(R)-Occipital(L)#gamma,Hjorth#Mobility#P4,COH#Frontal(L)-Temporal(L)#beta,COH#Occipital(L)-Occipital(R)#alpha,Spectral#Entropy#T3#theta,COH#Frontal(R)-Occipital(R)#alpha,Hjorth#Complexity#P3,COH#Frontal(L)-Occipital(L)#beta,Hjorth#Activity#C3,COH#Temporal(L)-Occipital(R)#theta,Spectral#Diff#F4#beta,COH#Frontal(L)-Frontal(R)#gamma,Spectral#Diff#C3#gamma,COH#Frontal(L)-Frontal(R)#theta,COH#Parietal(L)-Occipital(R)#theta,Spectral#RelativePower#F7#gamma,Spectral#RelativePower#F3#beta,PLI#Temporal(R)-Parietal(R)#beta,Spectral#Flatness#F7#beta,Hjorth#Complexity#O2,Spectral#Entropy#Cz#theta,PLI#Frontal(R)-Occipital(R)#beta,COH#Temporal(L)-Parietal(R)#beta,COH#Frontal(L)-Occipital(L)#delta,Spectral#Flatness#F8#delta,Spectral#Entropy#F4#delta,PLI#Temporal(R)-Parietal(R)#gamma,COH#Occipital(L)-Occipital(R)#delta,COH#Temporal(L)-Parietal(R)#delta,PLI#Frontal(L)-Temporal(R)#delta,Spectral#Flatness#P3#theta,Spectral#Entropy#F7#alpha,COH#Frontal(R)-Temporal(R)#delta,COH#Frontal(L)-Occipital(R)#gamma,COH#Frontal(L)-Frontal(R)#beta,Hjorth#Complexity#Cz,COH#Frontal(L)-Occipital(R)#beta
CA1499A1-93B4-40E9-A0E9-0399A824CF58,0.5334786110475603,0.15402500278859957,0.5829025903170646,0.6459938656937254,0.32771623399888805,0.5503947924854118,0.542729952170065,0.34046710215414644,0.34239241486351457,0.46578159669402297,0.6353099341851141,0.025371941430013173,0.48751992343903333,0.19303787598742156,0.6200422037478721,0.15246741433868566,0.17325469463289436,1.3634202505214685,0.9643811018064432,0.41824844663168276,1.0191763268747274,0.3827583306207776,0.4708395765064973,1.0273017078844546,0.89570900987426,0.345175369970967,0.8021925424392701,0.3474048683528686,0.4021072316023993,0.6673537385186964,0.2605727614009234,0.4102069136657588,0.36475638541060973,0.8655318513121125,0.11792576792399381,0.8595921359526414,0.2090784845695985,0.6160511096389665,0.3189920046668016,0.30622589862867006,0.6645053677331388,0.5609177688162519,0.34624176083037067,0.3405199010036343,0.21966172565162123,0.313886388234506,1.4774033852453212,0.9284112654394268,0.7338061578441962,0.6332911046527356,0.4193947728671945,0.10660247535675334,0.40005086759163655,0.8829307630584052,0.15266023472822596,0.5864243054459454,0.1760679765246872,0.455092920960544,0.2308574928917643,0.32353526740601124,0.35127483893042155,0.9200033039892129,0.48970143449521497,0.9176923986761394,0.5737095098566635,0.1391943919306199,0.5282735834284573,0.7096308445823357,0.8139200203041677,0.14735195759122807,1.2459409481541597,0.22755070192009008,0.21490019968573743,0.7638153110998059,0.9423594304961824,0.3039048946102232,0.3891565299186928,0.0718145242273027,0.5193876580673047,0.3352277191840007
3910096D-F005-48B9-9280-B22FFA359856,0.42364969892208854,0.18290497152860885,0.6488406003597262,0.5623806452727067,0.5162782216562254,0.5628950211013537,0.3158068752469881,0.2887877750940079,0.43284361198401683,0.2948876258000521,0.6499926339592166,0.058025812953683614,0.41683414517694384,0.16405280044431392,0.6144082788328393,0.35964755485407524,0.20605697629985328,1.2564098445407441,0.736894454945939,0.42972031836923325,0.7851527240991173,0.4614196154176079,0.44981851220402436,0.7734616216919243,0.8957207275864226,0.2892366282200627,0.8996876297287499,0.3567141282568127,0.3207885502837178,0.6726905973431269,0.2233064207965329,0.5465616748263145,0.29396986855667717,0.8537314676058413,0.04705360302295872,0.9937183473128038,0.1495743523381935,0.6192582083250905,0.34009048638792105,0.3226670301894706,0.8701407746487676,0.49421240472373695,0.2550042958480587,0.37908156399383186,0.20809564957160273,0.17148404141638252,1.3196261324900806,0.8841954443046063,0.8668679165049908,0.42702203397214045,0.41253032676595347,0.14399311325011482,0.43857506649584155,0.8775211102446938,0.07171463681550624,0.605591846561756,0.32270069590606365,0.5254194976899627,0.22496817531719315,0.23785027820135185,0.49396625424364665,0.8993837282969076,0.28157598761536096,0.9232326065158393,0.29819930577503106,0.21320822257362435,0.5896736818479713,0.8413191606583362,0.9183396074545291,0.29497100521027564,1.2549641971213719,0.32472614775986874,0.01225119306322095,0.6250196967924031,0.8651421376050588,0.13584830972177336,0.44765986925619866,0.036560736487389195,0.2117877908798354,0.46742835798056775
E339EB7B-C49F-4243-9083-C78D36A94ED3,0.5899939062578283,0.19413548579020237,0.691501652730035,0.45448512825350756,0.45849110997101244,0.44874033234002325,0.37056878000889293,0.17286498037245618,0.2564321699975337,0.37133550224792866,0.6092396520712418,-0.005102067141673536,0.23959252569639322,0.14047089029064616,0.4896337196280723,0.13711016513088567,0.22228167326930584,0.8712816066538049,1.0285865462842816,0.4171977271650819,0.9803980354552486,0.34110038221738015,0.39623720168990806,1.0057155712975603,0.8660846805753011,0.2959045452256549,0.8790905704942431,0.2941675885055891,0.33303344824290165,0.6653199357701174,0.2399090877447457,0.3303398639119427,0.3926857594073996,0.8458167994934672,0.016867607919944003,0.9892793388027056,0.13363574549049567,0.5075603409564133,0.26553526001035893,0.2517119789729174,0.8018797979279907,0.5546720374628535,0.24941808380239394,0.2446850515246206,0.19272674257936814,0.16872446974722144,1.316450256363114,0.9166372049449389,0.5930786506970656,0.7075737355420252,0.2635173530574171,0.10035704441997538,0.3886833248122224,0.8830278195508177,0.02989677872337637,0.5960329696495584,0.15173309347795197,0.37085536912451983,0.19435573936673414,0.22627900540254076,0.33437062945080614,0.8638948645569324,0.4465685381502079,0.9486916229355824,0.44251417457969566,0.16456596623087225,0.6367482396836496,0.6906826086366099,0.8085123987185657,0.09817800229482371,1.12134170290298,0.2740857602441973,0.19957380422689164,0.7130876452093515,0.9507269132013036,0.17469380343194307,0.22833105673690757,0.012768211189753381,0.5419997741515907,0.2531213617425677
C3441F1D-E67A-45DB-97E4-3245A6ECA2D4,0.42168387588081563,0.1803367484284697,0.6007277252528389,0.5115926352007245,0.5430918399982805,0.4549374265062529,0.3176587270988398,0.3233019708593621,0.41267364815338403,0.224617355529782,0.6215020654353369,-0.010435694938300225,0.25346231343379283,0.27803281822716813,0.46512859875145834,0.2956476622369268,0.24065930946416877,1.0417516520907413,0.8247287958996831,0.20330899828042784,0.9559220160165016,0.3688328159909534,0.36046800653090283,0.7703941059298363,0.9003323266100485,0.3015712432734076,0.9815723261307937,0.3622039552907283,0.2763441058392735,0.667148641160007,0.2560190462088332,0.4274827491207369,0.41475638541060983,0.8473364498318083,0.1123892588088097,0.7766670310707838,0.15577269944563152,0.6567315227058325,0.4062182332983072,0.2821233529492363,0.8408480245166444,0.5011344399317834,0.2319751126903598,0.36057855778565306,0.25004778223063673,0.2294894852107267,0.9701113160781161,0.9314165050898244,0.6407809673089511,0.4815176044430441,0.3643294585243802,0.15848470945959753,0.47337549548943303,0.8600990097102494,0.1321285938703411,0.5827881397910222,0.32420811719965675,0.36869346449163504,0.19868006264347904,0.28608171292566237,0.38259734473088564,0.8027483446558881,0.11558133432368355,0.9463004809858687,0.38238297924441855,0.28813964338685616,0.6457431601104933,0.7701412950018054,0.7955763813815335,0.20483495078850697,1.1636702574175928,0.36701825528508814,0.2307942394208367,0.6909458423771428,0.8643573938101115,0.19524580453984183,0.30784619247758044,0.11950493210401697,0.27222308338968937,0.26910098725673587
744BCEED-2491-4B98-9792-14D319F20490,0.44435807359354584,0.1838404520865806,0.4772789322343557,0.49277126618941874,0.3042884362824705,0.42956463490839714,0.5491402085803214,0.5483396008421443,0.31457247585636994,0.3597524906649171,0.43861646348024597,0.024584045367062685,0.2860853329395372,0.4910946866376965,0.4953257711222904,0.18083136728912613,0.17360111888228455,1.1179576579913362,0.8933771671403573,0.46536736377826854,1.014642246511103,0.28819335567448934,0.42835494971001764,1.0396738838506314,0.9404489331300383,0.3591251654446922,0.5317133357371556,0.5854779514576478,0.3636456931408607,0.6447788735265774,0.24569719947520724,0.26420642157819385,0.29958784608476713,0.8360377087008266,0.1851032318746314,0.7592033603805042,0.2611446002720778,0.6668321837071169,0.5243997769170439,0.32874463515896446,0.30013685823236547,0.557040438138791,0.7961433866178589,0.5413067960580848,0.4000216436781329,0.3272615108308403,1.3925558680659536,0.907401298084082,0.8224643411535603,0.4860951758586122,0.7368395828265268,0.21007813685502646,0.33906198318983805,0.8687378910426276,0.12703301794267502,0.5493981112047711,0.12297197849106159,0.3921566333985964,0.22865455651826555,0.34745789126070625,0.4348015210649924,0.8200501766147882,0.26999335490745396,0.9583701833056681,0.614525836387276,0.27958499378311924,0.8275867144526932,0.7045544979153154,0.9476014004260465,0.3527941344619763,1.251495347160113,0.3249973242143393,0.19105914008308855,0.868496667330275,0.9810175326368072,0.29491231555670117,0.2641655766346814,0.11391530471157002,0.2748842461798484,0.36590595828193245
2A0E3951-FDD3-45A5-BE61-F9DDC708FFB5,0.519298034023882,0.2385009432483248,0.7317582758839818,0.6621739526662498,0.4211956268659895,0.5486256341718202,0.3824735419136548,0.2892368735594225,0.2322581715726879,0.30569843661086293,0.625446324817996,0.029827155694292506,0.36278204742836745,0.2007580968323918,0.5849083201562046,0.18540893961818564,0.19222092614674,1.0061155920747489,0.8410486139422646,0.3692297579718042,0.9778079342157449,0.42023188487774654,0.4983463582594786,0.9505470336838542,0.8799608292825785,0.28713692384636064,0.769011150697898,0.4070040129434692,0.31602664552181303,0.6705831085602367,0.21220413445780256,0.34713928071915956,0.3445316663094862,0.8582443774211559,0.09337725212709694,0.7579797601693611,0.31073137713158194,0.5393966189287953,0.4701415635205574,0.26586514473941153,0.9438416086799591,0.550619126089891,0.2531298430456377,0.392853365877827,0.19379717527609433,0.25968252940433206,0.9925268916834824,0.9034341488874256,0.6591346718500379,0.6876410183204423,0.4665149286215492,0.17033615140145908,0.4315277863739558,0.8750251500946913,0.11645740548267261,0.6009111729761626,0.2424125500918543,0.5160618980643277,0.17512963320868355,0.2332915484977327,0.30951149786313625,0.7935694650871993,0.36306168922113446,0.8731674914259838,0.308403387407684,0.16366992273300535,0.7530990834717535,0.7309559606136973,0.8070078896919619,0.33918869228510556,1.2139420261022245,0.37858014792868067,0.38973463677183023,0.743378769257456,0.931586506963105,0.31756097364369196,0.3029951988969871,0.09534605326530782,0.31114566929151316,0.2966348489454602
28604B8D-395E-423C-86F3-205A70CD3CA1,0.8207202008736743,0.24829588600244792,0.582117899911907,0.7367957372588223,0.5911716643842202,0.5413130707679639,0.3991402085803214,0.3066219284722539,0.5028156148477891,0.3273200582324848,0.4610154518658371,0.04805798425239877,0.6409785350662357,0.28990534262297735,0.45501096028073673,0.37880784155703084,0.3735943305910593,0.9614746201401789,0.7820903112385272,0.45548516694742897,0.8189562668193083,0.41357883579078814,0.5319784584234306,0.8343673025638011,0.8875893995442308,0.2688562406352538,0.9562209608575207,0.3460727250959208,0.2779314074265751,0.6736197620304055,0.2001787113383219,0.42831223153121856,0.40445675994244495,0.8469920057308192,-0.06717795546575091,-0.12119420669146652,0.16610327795802812,0.6455552415753364,0.47789789575205477,0.5461554142364138,0.9401320566365601,0.5528708167316161,0.4294295006686869,0.27003906922505705,0.23556906095839794,0.27511164216727424,0.8212248714720517,0.8967304029876977,0.9064128993087127,0.4735480630861009,0.33458575470038665,0.19070959254006847,0.46912193706559235,0.8892309011853007,0.21748176353501525,0.5861432577225477,0.36479501438111467,0.41562350856012203,0.15464340522697895,0.2543151749098057,0.5995346997192846,0.7405447649313662,0.4230558775816535,0.8894588030726387,0.7165666527138064,0.40114348747074435,0.5396771199625177,0.8387429670057531,0.8366354213220553,0.4820458351422484,1.0738912297889516,0.31549393023240696,0.3235094712089162,0.7544976610235349,0.9157148532605334,0.3640628879810992,0.09637884740042085,0.2071693551230383,0.35347826563830587,0.18013912106281063
98014FEF-1731-474A-848C-60E3239C8BD4,0.38511980928186273,0.1569404914304577,0.6998858463699413,0.48740700890148403,0.5250243353815434,0.5076259720783585,0.32533068477079785,0.2476834875489607,0.33947807851040185,0.21612314703557337,0.5947994298888525,0.06752196829519191,0.38362421818552284,0.2064998265475672,0.5470796414984385,0.25938721826944194,0.27991478284987403,0.9093892660748963,0.7624371584179147,0.32688850470014097,0.848799929415384,0.34508945729573826,0.4894282685544718,0.8411312816674428,0.9158839383346554,0.32252881243619047,0.8413224936317532,0.31526529122724933,0.33303344824290165,0.6619724607406363,0.2190559647269982,0.42727645316070584,0.34078634795742624,0.8476320998327912,0.18700781835922578,0.760485962958731,0.17849997217290414,0.6302399671140936,0.35940595262633646,0.2499043482265248,0.8389066051319276,0.5294480142923159,0.32649495879287493,0.27984131690844294,0.27418926264280785,0.15684007850514736,0.9806690610279181,0.9194577846726524,0.6911838846052503,0.40072457284412444,0.36422207232278314,0.17989734674613306,0.44063672340560384,0.8698869486025574,0.14069265010477613,0.5735020088051973,0.3278281728183128,0.42598355154290884,0.19297195252187377,0.30702287812021123,0.28398945609979503,0.863734784063628,0.2133228255551524,0.9578662517018862,0.41044420373421464,0.24082750753590848,0.7538411944836785,0.744708836005009,0.7986151025743635,0.17592338616265665,1.0731131692313025,0.3748571005750263,0.13807900763275738,0.6890880385494554,0.9261634503205504,0.3745896279300875,0.25624360845258704,0.10515297306180979,0.14781157636763032,0.28001254330857034
0EC704E1-490D-4C02-946E-E31A5F355390,0.4557281406884481,0.11363372016833143,0.637055385102963,0.5079244343707039,0.46603134716877925,0.4572152715522696,0.3130290974692103,0.22454593183320104,0.49137654197133956,0.224617355529782,0.5175361656606354,0.07721831128845838,0.3706736393545616,0.16699521814653923,0.5533110403002572,0.34744800754686017,0.07743555338421562,0.8269577248097366,0.6390770607769021,0.4155000352320245,0.9391964597787832,0.39220984113176793,0.37766391147932554,0.9055482627421308,0.9306452837759517,0.32688033418064494,0.8967605846615287,0.4698184609332198,0.31602664552181303,0.6727865049582679,0.2009976421661082,0.4438716951936232,0.42692867005480456,0.844996315185453,0.0545828576163946,0.8255046586900717,0.19502889779273888,0.47564196571399725,0.5487777459890224,0.28617956742875716,0.7972593015022187,0.5438935291779503,0.48867438799505275,0.4592159767721063,0.28211284916227314,0.11217646134202397,0.7938126127556281,0.9426465165306922,0.6647273439842807,0.45651945438734937,0.20064643485192973,0.09733381204379866,0.4139280895571272,0.8646181999291402,0.008543235906214974,0.6014067050648866,0.20534422677884728,0.46012983570324745,0.1557559282202914,0.5216498125767532,0.3605555813898183,0.39812473674738263,0.3557050341894876,0.9315729785386171,0.5192877411491807,0.23054512136841424,0.495510512501929,0.7703288363868871,0.8112134342180183,0.1509800755050602,0.7595047150040426,0.20567716936529556,0.23079423942083688,0.7571713591122706,0.9370979525074742,0.2813394830814087,0.26576241174936444,0.13501832219888873,0.22846044401460802,0.1769946573935988
9337C2BA-10CC-469D-AC93-6336044539F4,0.22685754449674525,0.0726453532805721,0.5195390165279079,0.36257885198209777,0.5340524479453825,0.5915717966738878,0.5116012893316221,0.4551065819876084,0.36657658770855206,0.4694055321942732,0.4919497419420083,0.13181466207788717,0.5294229066840916,0.32668553929876093,0.495318705032146,0.34141603227766565,0.2626381065470346,0.7719775996854561,0.7100657777458194,0.22099714896189598,0.775041811348311,0.41287842298844746,0.553073328729244,0.6868264855831687,0.8918179940177332,0.26001371205085955,0.8795972099428985,0.26378788096800276,0.4967295158954753,0.6813191458233656,0.137232642529568,0.4651516262559354,0.24498323828531143,0.7911805684152156,0.4062176124261775,0.8430682956377387,0.27149292410308906,0.6103314817320185,0.24988727440152436,0.182913299630008,0.9314002182571965,0.5252119697927727,0.19316917980485757,0.304132078705474,0.41537197625869504,0.42931942296207626,0.7164697115567802,0.9171811932144244,0.6370528973100629,0.2529397072104939,0.43342666176924816,0.1223293818759878,0.517717483526222,0.8602741715475165,0.18455017698869042,0.6303933259320887,0.42177718683350135,0.4338975316354776,0.1483553618813924,0.34892041327046114,0.49488723448767485,0.706318149697018,0.12927481733452534,0.926824328004395,0.49506580955050916,0.41491163493721706,0.5371876891973997,0.6579200575576324,0.8217480665133651,0.15921516081937748,0.749117602941558,0.41138626479190576,0.42538801989723185,0.8191544022575247,0.8005696059480504,0.37152047758861395,0.3101640120841617,0.2201701908940236,0.2568654074591016,0.2783421141855495
