
,Spectral#Diff#C3#theta,Spectral#RelativePower#C3#gamma,Spectral#RelativePower#C4#delta,Spectral#PeakFrequency#C4#beta1,Spectral#Flatness#C4#gamma,Spectral#RelativePower#Cz#beta2,Spectral#RelativePower#Cz#beta3,Spectral#RelativePower#Cz#gamma,Spectral#Diff#Cz#gamma,Spectral#Entropy#F4#beta2,Spectral#Flatness#F4#beta2,Spectral#Entropy#F7#theta,Spectral#PeakFrequency#Fp2#alpha1,Spectral#PeakFrequency#Fp2#beta2,Spectral#RelativePower#Fz#delta,Spectral#PeakFrequency#Fz#theta,Spectral#PeakFrequency#Fz#gamma,Spectral#PeakFrequency#O1#beta3,Spectral#Entropy#O2#delta,Spectral#PeakFrequency#O2#theta,Spectral#PeakFrequency#P3#gamma,Spectral#Diff#P4#beta2,Spectral#EdgeFrequency#Pz#gamma,Spectral#EdgeFrequency#T3#delta,Spectral#Flatness#T5#alpha2,Hjorth#Activity#C3,Hjorth#Activity#P4,Hjorth#Mobility#Cz,PLI#Temporal(L)-Parietal(L)#alpha2,PLI#Temporal(L)-Occipital(L)#beta1
mean,0.5362123595981614,0.7459107900147061,-0.7961477154178296,-0.09028302264876498,0.11786751463408619,0.9317301203849396,1.083510539676145,0.9779321179241106,-0.4275434727683911,0.32609226897246907,0.21260763554556328,0.0009552274439196847,0.05453066643796154,0.19052969834487196,-0.8506786628254885,0.5869785799601286,0.127138864497206,-0.15597332572878592,0.12763272404860596,0.2979543912987199,0.32467613764806186,0.013034117727326409,0.20017885310121067,-0.0740486594317444,0.1616514878451221,-0.31919292058136617,-0.2762142621817978,1.1034525292130715,0.022077455810432575,0.09833160207971266
std,1.1353090737095923,1.2262870292482433,0.9237065631898196,1.2064900320317462,0.9230193419759352,1.2232257407533438,1.3331274905400041,1.2403596363391618,2.0317035734833295,0.6913469672281353,0.7752864552003543,0.853176606145965,0.9765381034627625,0.8114433652984377,0.7768218967916254,1.1789971289915586,1.2296884282009148,0.8369315879314522,0.8697720507027804,0.894792368437644,1.070616435363831,0.658395867972199,1.0252604553104983,0.6872849888907578,0.8561688703153139,0.9013114686518048,1.2030103269343404,0.7795372101854209,1.174628598437838,0.9137541524381224
min,-0.7432415623667239,-1.0282091892852963,-2.359897549396985,-1.9836239025379139,-2.8513994004859406,-0.4947384456145531,-0.6710340058219508,-0.9816154152510816,-11.113615993357481,-1.153673887296777,-1.2876653503264004,-2.6494362000575657,-2.0868708442314694,-1.9968333744223725,-2.3518855919140935,-1.5905151957143953,-1.6382639657134908,-1.2777578351667875,-1.713131967771628,-1.4328176131849146,-1.2060784015183912,-1.9969023311403795,-1.7619056632261518,-1.2587879575309215,-2.0366633250003767,-2.1856075591968556,-2.829387012472501,-0.2155917765276317,-1.602159615243903,-1.3073653312922728
max,4.709656750621956,4.62447785939422,2.885562267026287,2.091988147790986,1.7871897432853852,4.6540132016270634,4.852003959853368,3.3339248234371612,1.3967690235253754,2.4568547096830464,2.552336018986847,1.3041402390358812,1.88529838248871,1.8335911325396568,0.7912603305841672,3.166279496936563,4.138128375519053,1.9870704512885364,2.4252368919428617,2.2135756508066264,3.5540211526284735,1.0159644959840803,2.0436562997230108,1.4865678767788968,1.8252296940136081,2.564731567111791,3.8336719336979233,3.1941542150264475,3.76464413428527,2.5568200533021463
