,Spectral#Diff#C3#theta,Spectral#RelativePower#C3#gamma,Spectral#RelativePower#C4#delta,Spectral#PeakFrequency#C4#beta1,Spectral#Flatness#C4#gamma,Spectral#RelativePower#Cz#beta2,Spectral#RelativePower#Cz#beta3,Spectral#RelativePower#Cz#gamma,Spectral#Diff#Cz#gamma,Spectral#Entropy#F4#beta2,Spectral#Flatness#F4#beta2,Spectral#Entropy#F7#theta,Spectral#PeakFrequency#Fp2#alpha1,Spectral#PeakFrequency#Fp2#beta2,Spectral#RelativePower#Fz#delta,Spectral#PeakFrequency#Fz#theta,Spectral#PeakFrequency#Fz#gamma,Spectral#PeakFrequency#O1#beta3,Spectral#Entropy#O2#delta,Spectral#PeakFrequency#O2#theta,Spectral#PeakFrequency#P3#gamma,Spectral#Diff#P4#beta2,Spectral#EdgeFrequency#Pz#gamma,Spectral#EdgeFrequency#T3#delta,Spectral#Flatness#T5#alpha2,Hjorth#Activity#C3,Hjorth#Activity#P4,Hjorth#Mobility#Cz,PLI#Temporal(L)-Parietal(L)#alpha2,PLI#Temporal(L)-Occipital(L)#beta1
mean,-7.141133022714575e-18,9.729793743448608e-17,0.0,2.128057640768943e-15,-9.243304056276178e-16,-1.142581283634332e-16,7.855246324986033e-17,1.2496982789750506e-16,2.410132395166169e-17,7.840964058940604e-15,6.855487701805991e-16,1.206851480838763e-15,-5.141615776354494e-16,1.1336548673559386e-16,-2.7850418788586843e-16,1.0800963696855794e-16,-1.628178329178923e-15,7.498189673850303e-16,-2.035222911473654e-15,2.477080517254118e-16,1.267551111531837e-15,1.0711699534071862e-17,-7.491941182455428e-15,-3.2920623234714188e-15,1.5353435998836335e-16,2.570807888177247e-16,-3.9276231624930163e-17,2.2137512370415182e-16,-3.2135098602215585e-17,6.159227232091321e-17
std,0.9999999999999999,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999999999999,0.9999999999999999,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999999999999,1.0,1.0,1.0,1.0,0.9999999999999999,1.0,1.0,1.0,1.0,1.0,0.9999999999999999,1.0,1.0,1.0
min,-8.169877898643906,-1.211955050348052,-2.538791760982943,-2.9495204000147055,-5.910593055888661,-1.571447740938527,-1.3941609865881537,-1.3489828345741306,-11.725811770010594,-9.95176777445725,-6.427626344301793,-8.33544283876406,-2.762947167454172,-2.865850151493924,-2.4874214060180155,-2.3496862742180413,-2.639542180108319,-2.051208915389429,-5.400182809533021,-2.8798444822372287,-2.6806301379816677,-9.673824424193825,-5.3578315445410745,-3.416451762338598,-3.7675911906038007,-3.896010042181304,-3.0743049982216832,-2.765157666088626,-1.9915874142816585,-1.8038891800359378
max,8.896983442061632,9.546830299663924,3.685399624134097,3.29346915684748,2.357866057046356,8.30431213642685,5.5950018799107175,8.201642769702044,4.418015676523764,2.732465173296617,4.042512198737345,1.9811346809115002,2.316035356008622,3.0721849725256143,4.164553143251799,3.53461536915511,5.366996010264872,6.086335892026552,3.020031446659774,2.644862299216539,5.277478847803528,4.835522881404122,2.6472364992678856,4.412773231689869,2.6110646591535183,4.423431042356319,4.994756084856685,3.1941542150264475,5.178133846056694,6.863268053829899
