,r,p
Delta_Frontal,0.24383456589399993,0.00018219442666701804
Delta_Central,0.05597574599208169,0.397102886265588
Delta_Parietal,0.095630396111912,0.14736713531957052
Delta_Occipital,0.09987191652176189,0.1301593687444312
Delta_Temporal,0.25021871582075855,0.00012119961633932867
Delta_Limbic,0.1587320294257648,0.015745582106786796
Alpha1_Frontal,0.10642869518206428,0.10666051835339446
Alpha1_Central,0.012352805925473173,0.8518683827488798
Alpha1_Parietal,0.04403778223145429,0.5054055727631889
Alpha1_Occipital,0.02017063101366754,0.7604156426796476
Alpha1_Temporal,0.09782895901814274,0.1382436056689174
Alpha1_Limbic,0.06167168076588654,0.3507517311996627
Theta_Frontal,0.22898300284400008,0.000451342185454358
Theta_Central,0.09713661721571408,0.14106878478524154
Theta_Parietal,0.14239561971652143,0.030501026412286
Theta_Occipital,0.10777042297453138,0.10229140988667562
Theta_Temporal,0.2559539181820699,8.326442562333511e-05
Theta_Limbic,0.1693458926247803,0.009922374689554292
Alpha2_Frontal,-0.07568309632329541,0.25192452382501235
Alpha2_Central,-0.1188179400303415,0.07147144984901603
Alpha2_Parietal,-0.1532785961587975,0.01976468348311352
Alpha2_Occipital,-0.18264248932017546,0.005363919623728481
Alpha2_Temporal,-0.11549851646574101,0.07981339753685542
Alpha2_Limbic,-0.16011052679408733,0.014850506200077015
Alpha3_Frontal,-0.15476071522098836,0.018592763702152737
Alpha3_Central,-0.17502898556213206,0.007666987825542701
Alpha3_Parietal,-0.2136431263229315,0.0010858442786705247
Alpha3_Occipital,-0.2111744780650157,0.001243755467421992
Alpha3_Temporal,-0.21857832384778147,0.0008239661272194212
Alpha3_Limbic,-0.2235901633613238,0.0006186963879121389
Beta1_Frontal,-0.034828655954815615,0.5984450294193701
Beta1_Central,-0.07424736815963608,0.26105858752252586
Beta1_Parietal,-0.21529678126127139,0.000990603836274851
Beta1_Occipital,-0.2979954218225513,4.031944867308588e-06
Beta1_Temporal,-0.0897240735563105,0.17413620061759408
Beta1_Limbic,-0.19255250312680935,0.0033010909083873415
Beta2_Frontal,0.05072863414247119,0.442891198234269
Beta2_Central,-0.06439518099211,0.3298458472179926
Beta2_Parietal,-0.15112361416766915,0.021582753686253387
Beta2_Occipital,-0.17222712894206024,0.008714514668705932
Beta2_Temporal,0.07685273555329555,0.24464879809209972
Beta2_Limbic,-0.1023960524858753,0.12068023999043605
Gamma_Frontal,0.08542615986703381,0.1957732158255737
Gamma_Central,0.03365346723427402,0.6108518441016808
Gamma_Parietal,0.012672855585021788,0.8480762609142235
Gamma_Occipital,-0.027703502764879737,0.6753235249775726
Gamma_Temporal,0.10605164100565893,0.10791441702906503
Gamma_Limbic,0.020413047031070875,0.7576253869356193
