,2,3,4,5,6
none,0.68,0.69,0.68,0.66,0.68
neuroharmonize,0.66,0.67,0.70,0.69,0.71
neuroharmonize2,0.64,0.66,0.68,0.69,0.71
nestedcombat+,0.67,0.67,0.68,0.68,0.66
nestedcombat-,0.67,0.67,0.69,0.70,0.69
