,2,3,4,5,6
none,0.69,0.69,0.67,0.66,0.65
neuroharmonize,0.67,0.67,0.67,0.69,0.68
neuroharmonize2,0.65,0.67,0.68,0.69,0.68
nestedcombat+,0.68,0.67,0.67,0.68,0.67
nestedcombat-,0.67,0.67,0.67,0.68,0.69
