,2,3,4,5,6
none,0.67,0.69,0.69,0.68,0.66
neuroharmonize,0.67,0.68,0.69,0.69,0.69
neuroharmonize2,0.64,0.68,0.69,0.69,0.71
nestedcombat+,0.70,0.68,0.68,0.68,0.68
nestedcombat-,0.65,0.68,0.69,0.69,0.70
