,2,3,4,5,6
none,0.68,0.68,0.68,0.66,0.68
neuroharmonize,0.66,0.67,0.69,0.69,0.70
neuroharmonize2,0.64,0.67,0.68,0.69,0.69
nestedcombat+,0.68,0.66,0.69,0.69,0.70
nestedcombat-,0.66,0.68,0.68,0.69,0.72
