,2,3,4,5,6
none,0.68,0.69,0.69,0.67,0.69
neuroharmonize,0.65,0.67,0.69,0.69,0.69
neuroharmonize2,0.64,0.67,0.68,0.68,0.69
nestedcombat+,0.69,0.68,0.68,0.69,0.68
nestedcombat-,0.65,0.67,0.69,0.70,0.72
