,2,3,4,5,6
none,0.64,0.64,0.64,0.62,0.63
neuroharmonize,0.65,0.64,0.65,0.64,0.61
neuroharmonize2,0.65,0.64,0.64,0.64,0.61
nestedcombat+,0.65,0.66,0.67,0.68,0.63
nestedcombat-,0.66,0.65,0.64,0.65,0.65
