,2,3,4,5,6
none,0.68,0.68,0.68,0.67,0.67
neuroharmonize,0.65,0.67,0.69,0.71,0.73
neuroharmonize2,0.64,0.68,0.69,0.70,0.74
nestedcombat+,0.68,0.67,0.69,0.71,0.74
nestedcombat-,0.67,0.67,0.69,0.71,0.72
