,2,3,4,5,6
none,0.64,0.65,0.66,0.65,0.67
neuroharmonize,0.66,0.66,0.66,0.67,0.66
neuroharmonize2,0.67,0.67,0.67,0.67,0.67
nestedcombat+,0.65,0.65,0.66,0.66,0.64
nestedcombat-,0.67,0.66,0.67,0.65,0.65
