Method,Datasets,PCs,Avg F1,Std F1
nestedcombat+,3,4,0.6630524141077212,0.05440099780115578
nestedcombat+,3,3,0.6450141348047536,0.07469085816561309
nestedcombat-,3,15,0.6799375706758475,0.05186191528951123
nestedcombat-,3,14,0.6748430898871665,0.06347776498282133
nestedcombat-,3,13,0.679082861282513,0.06935332928038417
nestedcombat-,3,12,0.6730312913290223,0.0678345630998468
nestedcombat-,3,11,0.6721114081795493,0.07032767537774512
nestedcombat-,3,10,0.6759819175160241,0.07227481400352599
nestedcombat-,3,9,0.6694404444543374,0.07108984591395989
nestedcombat-,3,8,0.66588020285418,0.0683148816610785
nestedcombat-,3,6,0.6530162291990076,0.0707098069847612
nestedcombat-,3,5,0.6563125301368758,0.06659507051622257
nestedcombat-,3,2,0.6496616155704305,0.06478870381888337
nestedcombat-,3,7,0.6659887020336007,0.06418338439697645
nestedcombat-,3,4,0.6624833027708469,0.06241638962509938
nestedcombat-,3,3,0.6579114681007534,0.0670759977191285
none,4,15,0.6899559404724865,0.026448538380911765
none,4,14,0.6855069047598369,0.025654559763015356
none,4,13,0.6812281218828675,0.04333736546767032
none,4,12,0.6791110599364647,0.037027099791420166
none,4,11,0.6842091705848706,0.0375628560629875
none,4,10,0.6847482328677725,0.04042961211865632
none,4,9,0.6755412408484164,0.04410156594043709
none,4,8,0.6650692792441184,0.04547376829797192
none,4,7,0.6615361499939805,0.04233137611474065
none,4,6,0.6617371479950389,0.04081527221754601
none,4,5,0.6621303267848617,0.034960534856061036
none,4,4,0.6566247973208967,0.03854512995521787
none,4,3,0.6585746552838855,0.03832722346964706
none,4,2,0.6388994418178146,0.04258873613845998
neuroharmonize,4,15,0.6934067555905074,0.03350761864091297
neuroharmonize,4,14,0.6941506485401737,0.04165202075160243
neuroharmonize,4,13,0.6872061252283074,0.04457158359506979
neuroharmonize,4,12,0.6898035017660279,0.05497408334799113
neuroharmonize,4,11,0.6924917380333305,0.046742587152318923
neuroharmonize,4,10,0.6865083371863692,0.0521108723649568
neuroharmonize,4,9,0.6969219413457656,0.05230400128967718
neuroharmonize,4,8,0.6728661143399799,0.04258182766202391
neuroharmonize,4,7,0.6774060361004903,0.04703273175562284
neuroharmonize,4,6,0.6788635126315021,0.044720135591818644
neuroharmonize,4,5,0.6634958665082427,0.04679377394086664
neuroharmonize,4,4,0.6677460553713787,0.03598058205888731
neuroharmonize,4,3,0.6570968984955662,0.04392918310692479
neuroharmonize,4,2,0.6452992635387726,0.04977106711246331
neuroharmonize2,4,15,0.6904815503947259,0.03936156207074741
neuroharmonize2,4,14,0.6800208223857389,0.044453471399812226
neuroharmonize2,4,13,0.696290006713911,0.042669451343489685
neuroharmonize2,4,12,0.6893171879538033,0.05905044411350717
neuroharmonize2,4,11,0.6899247590358305,0.049551198854198945
neuroharmonize2,4,10,0.679914875722018,0.05867054135437832
neuroharmonize2,4,8,0.6771797582648171,0.05344064640817906
neuroharmonize2,4,5,0.6688681458467833,0.045006264866159995
neuroharmonize2,4,4,0.6745079709165747,0.03711525494789615
neuroharmonize2,4,3,0.6663414704091652,0.044389258240052444
neuroharmonize2,4,2,0.6449708518440882,0.04878327866089481
neuroharmonize2,4,9,0.684685543159002,0.057500689511898906
neuroharmonize2,4,7,0.6698281998495011,0.04971197998867008
neuroharmonize2,4,6,0.668843387210432,0.046801380895715616
nestedcombat+,4,15,0.6831724392697087,0.04305631563386493
nestedcombat+,4,14,0.6825636460218943,0.04332721864784302
nestedcombat+,4,13,0.6883872587816791,0.05042423720777077
nestedcombat+,4,12,0.6838291113021024,0.05320720728787078
nestedcombat+,4,11,0.6891885116327882,0.04752727727800747
nestedcombat+,4,10,0.6878483162640123,0.06189657725413819
nestedcombat+,4,8,0.6749911982362882,0.06557041791400144
nestedcombat+,4,5,0.6404759697403055,0.05070527461575728
nestedcombat+,4,4,0.6539435763334958,0.040069825933593414
nestedcombat+,4,3,0.658718856165871,0.0402043617490467
nestedcombat+,4,2,0.668565353334252,0.041337357361625096
nestedcombat+,4,9,0.6827330942193853,0.06795189326898568
nestedcombat+,4,7,0.6651234827144036,0.05904247184834752
nestedcombat+,4,6,0.6652739240080112,0.059481142015707054
nestedcombat-,4,15,0.6867950145766664,0.03910085281172129
nestedcombat-,4,14,0.6894795396986297,0.026345665844075567
nestedcombat-,4,13,0.6918001115388362,0.03180731054175465
nestedcombat-,4,12,0.6842140739623265,0.04428382498101002
nestedcombat-,4,11,0.6915429877691881,0.046000660847844474
nestedcombat-,4,10,0.6822900342318867,0.059114663805471146
nestedcombat-,4,8,0.6714535667988293,0.05397494235227455
nestedcombat-,4,5,0.6610446207036825,0.05018736508746577
nestedcombat-,4,4,0.6751893268509304,0.0427717048045571
nestedcombat-,4,3,0.6660602021471489,0.04067049591981889
nestedcombat-,4,2,0.6395977600775254,0.045531253774418176
nestedcombat-,4,9,0.6873741262581904,0.055333066755206765
nestedcombat-,4,7,0.6764580895783066,0.053129953550172776
nestedcombat-,4,6,0.6702295841533403,0.04857545061043757
none,5,15,0.6843071277516158,0.015874979188797354
none,5,14,0.6741113469683676,0.02277943272320103
none,5,13,0.6683874273031019,0.023727280953975558
none,5,12,0.6696989437225908,0.02613757346194603
none,5,11,0.6720528198029426,0.01823236789926804
none,5,10,0.6631289906114146,0.03350479799994095
none,5,9,0.6628471194032443,0.0311194825175191
none,5,8,0.6559000562595,0.024384547366293287
none,5,7,0.6560695464528352,0.023636847546236586
none,5,6,0.65753471827922,0.031131523812857102
none,5,5,0.6586782146677709,0.0235399145831132
none,5,4,0.658919456426189,0.027868636763711385
none,5,3,0.6500108016565197,0.03968430450796572
none,5,2,0.6224901623925969,0.024388213819152172
neuroharmonize,5,15,0.6916271722986854,0.02131482189705427
neuroharmonize,5,14,0.6909852492623169,0.010360086461548675
neuroharmonize,5,13,0.6953425318129242,0.02896848483421763
neuroharmonize,5,12,0.6995869300219169,0.03407183133597605
neuroharmonize,5,11,0.7075213512413665,0.02639671817049616
neuroharmonize,5,10,0.6906148796010636,0.026369944090105683
neuroharmonize,5,9,0.688718140366129,0.0289823474607003
neuroharmonize,5,8,0.6862493955377974,0.02460735321591786
neuroharmonize,5,7,0.6767584479160408,0.03505320122977202
neuroharmonize,5,6,0.6868891810450185,0.050083525273758575
neuroharmonize,5,5,0.6848965676044255,0.0383503724189154
neuroharmonize,5,4,0.6744280725580919,0.029275890963047835
neuroharmonize,5,3,0.6690121479324139,0.040101498658755924
neuroharmonize,5,2,0.6368708509996114,0.024716159723290675
neuroharmonize2,5,15,0.6900601544281169,0.018447931358363968
neuroharmonize2,5,14,0.6803568350965965,0.017232722921631208
neuroharmonize2,5,13,0.6881274794153032,0.028857471212885705
neuroharmonize2,5,10,0.6886174295490632,0.02534139970627825
neuroharmonize2,5,9,0.6907409458042769,0.03642128363251788
neuroharmonize2,5,7,0.6748395894975384,0.04460333628569729
neuroharmonize2,5,6,0.6796297948464404,0.04405790924150532
neuroharmonize2,5,5,0.684704482991338,0.03153621668126771
neuroharmonize2,5,4,0.6798792638805763,0.026652463672515173
neuroharmonize2,5,3,0.670980643082375,0.02919183020747415
neuroharmonize2,5,2,0.6402569888330262,0.030203415418914602
neuroharmonize2,5,12,0.6856589496206599,0.01915026774417192
neuroharmonize2,5,11,0.7019075498729263,0.019528224856876494
neuroharmonize2,5,8,0.6871678273226247,0.027815191484060746
nestedcombat+,5,15,0.6815596537157966,0.030482031368108838
nestedcombat+,5,14,0.6933813718823333,0.021402568006261058
nestedcombat+,5,13,0.7008242009153894,0.029741878898456538
nestedcombat+,5,10,0.6934564218529218,0.06188286871859565
nestedcombat+,5,9,0.6829006793847646,0.04729549231495458
nestedcombat+,5,7,0.6667159968448839,0.039780987353637234
nestedcombat+,5,6,0.6641850003053208,0.037120442346483096
nestedcombat+,5,5,0.645963169297887,0.03313176287983405
nestedcombat+,5,4,0.6520759832405499,0.031672517115296006
nestedcombat+,5,3,0.662518606262904,0.02661769593021386
nestedcombat+,5,2,0.6777526632625571,0.019664724892284706
nestedcombat+,5,12,0.6945019322200873,0.02769853800349773
nestedcombat+,5,11,0.7065016092932823,0.018400281453831723
nestedcombat+,5,8,0.6785207057213613,0.043505750423680864
nestedcombat-,5,15,0.6873328587111601,0.019882835831228775
nestedcombat-,5,14,0.7040575620017928,0.019147877745122166
nestedcombat-,5,13,0.7047715593370621,0.025477880810781613
nestedcombat-,5,10,0.6942763308886769,0.027364573807478424
nestedcombat-,5,9,0.6951778839937539,0.03486517684593865
nestedcombat-,5,7,0.6836251110241136,0.0437116995517853
nestedcombat-,5,6,0.6875809001392083,0.036863237732733534
nestedcombat-,5,5,0.6748793577479479,0.03583577675994718
nestedcombat-,5,4,0.6757435422568027,0.026002707506979854
nestedcombat-,5,3,0.6508043682156243,0.031130128132184534
nestedcombat-,5,2,0.6492974925821074,0.019439223828851597
nestedcombat-,5,12,0.7012880273280374,0.015661829678244216
nestedcombat-,5,11,0.7065746951164357,0.020476709362107152
