,0
4DB0BE80-4988-412A-9FAD-52B8324FFD10,4.5
CA1499A1-93B4-40E9-A0E9-0399A824CF58,4.166666666666667
3910096D-F005-48B9-9280-B22FFA359856,4.166666666666667
E339EB7B-C49F-4243-9083-C78D36A94ED3,3.25
D4CAC4A2-A94C-4BB5-BDB2-C67531E340C9,4.083333333333333
7C2DC455-449A-4AA0-B4AD-0DABCC40CD00,4.833333333333333
744BCEED-2491-4B98-9792-14D319F20490,4.333333333333333
2A0E3951-FDD3-45A5-BE61-F9DDC708FFB5,5.0
0EC704E1-490D-4C02-946E-E31A5F355390,5.0
9337C2BA-10CC-469D-AC93-6336044539F4,6.5
89BD14F0-BB33-4654-B252-FA2223FBA95C,8.0
B11EDB18-1138-4903-A5F6-9550E4A70842,7.416666666666667
1D1AA330-8064-4C90-9D4F-8FFBB748AA5F,6.333333333333333
13555BB4-B8C5-4F8C-AE93-2708F577A50B,7.5
26938CA4-B396-4C20-9841-4A3600C5F659,5.25
572E1DF3-3702-4A77-A0E4-7626A5AA71D3,7.416666666666667
16CCA539-5F85-4F04-9725-FEC1985343B9,7.75
7C763268-9A97-4E7A-B513-DED4ECD20007,6.916666666666667
4560BBF1-3989-4A8D-822F-1E501AB8115D,7.25
C8EE865F-B341-40C4-AFF1-232A564F35DB,5.166666666666667
042AF8DD-45A2-4503-BFC5-198C690128B0,7.916666666666667
266183BA-ABD4-44F6-8CDE-0BAE9DF89AB7,7.083333333333333
5199C402-B030-4F9E-8D95-104F3FA91896,7.416666666666667
FF53E5E9-991E-4AC8-97A0-811E9002D78B,5.333333333333333
67CB0AF2-518E-417A-A952-D877B85E0277,7.666666666666667
CE2387CB-DCB9-4D52-B650-1F5E019E88D7,7.166666666666667
39325FAA-7A92-4C0C-AE78-0A070D6610C0,6.5
4D356759-D29D-4E13-8758-780199281FD5,6.166666666666667
F691D976-1A53-4D4C-8342-06FB16247BCD,7.833333333333333
21AF87C1-7F88-4CF3-844B-6A68202D3652,7.5
